Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C)
1,03/22/2024 01:23:26.096,+5.93738423E+01,+5.93808368E+01,+5.95989774E+01,+5.96040532E+01,+5.94182201E+01
2,03/22/2024 01:23:36.097,+5.97054939E+01,+5.96929491E+01,+5.99907199E+01,+5.99966564E+01,+5.98822083E+01
3,03/22/2024 01:23:46.138,+5.99514463E+01,+5.99177874E+01,+6.02836623E+01,+6.02932522E+01,+6.02032160E+01
4,03/22/2024 01:23:56.100,+6.01616610E+01,+6.01140614E+01,+6.04948302E+01,+6.05000996E+01,+6.04009660E+01
5,03/22/2024 01:24:06.099,+6.03460416E+01,+6.02634198E+01,+6.06732372E+01,+6.06800642E+01,+6.06387432E+01
6,03/22/2024 01:24:16.141,+6.05053292E+01,+6.04372786E+01,+6.08525050E+01,+6.08516290E+01,+6.08583740E+01
7,03/22/2024 01:24:26.142,+6.06744802E+01,+6.05567522E+01,+6.10184563E+01,+6.09995670E+01,+6.10389568E+01
8,03/22/2024 01:24:36.100,+6.07843788E+01,+6.06641356E+01,+6.11383500E+01,+6.11297390E+01,+6.11893872E+01
9,03/22/2024 01:24:46.121,+6.09577832E+01,+6.08198399E+01,+6.13429663E+01,+6.13293349E+01,+6.14117352E+01
10,03/22/2024 01:24:56.097,+6.10843893E+01,+6.09586676E+01,+6.14674411E+01,+6.14490208E+01,+6.15863364E+01
11,03/22/2024 01:25:06.143,+6.12450981E+01,+6.10824936E+01,+6.15971143E+01,+6.15775824E+01,+6.18068740E+01
12,03/22/2024 01:25:16.116,+6.13604567E+01,+6.11999576E+01,+6.17479872E+01,+6.17433137E+01,+6.19551035E+01
13,03/22/2024 01:25:26.097,+6.15021406E+01,+6.13183350E+01,+6.18750455E+01,+6.18831538E+01,+6.21239886E+01
14,03/22/2024 01:25:36.117,+6.16356703E+01,+6.14327274E+01,+6.20090531E+01,+6.20033023E+01,+6.23027141E+01
15,03/22/2024 01:25:46.102,+6.17647513E+01,+6.15673435E+01,+6.21767400E+01,+6.21693263E+01,+6.24844143E+01
16,03/22/2024 01:25:56.096,+6.18738435E+01,+6.16688479E+01,+6.22548859E+01,+6.22342890E+01,+6.26123749E+01
17,03/22/2024 01:26:06.131,+6.20261385E+01,+6.18039536E+01,+6.24164958E+01,+6.24039802E+01,+6.28525868E+01
18,03/22/2024 01:26:16.084,+6.21266002E+01,+6.19063115E+01,+6.25216576E+01,+6.24985910E+01,+6.29478675E+01
19,03/22/2024 01:26:26.084,+6.22403913E+01,+6.20096823E+01,+6.26592748E+01,+6.25993935E+01,+6.30454405E+01
20,03/22/2024 01:26:36.092,+6.23242180E+01,+6.21004826E+01,+6.27481415E+01,+6.26687179E+01,+6.31416707E+01
21,03/22/2024 01:26:46.108,+6.24605587E+01,+6.21902011E+01,+6.28612691E+01,+6.28166951E+01,+6.33350252E+01
22,03/22/2024 01:26:56.083,+6.25429434E+01,+6.22982788E+01,+6.29788690E+01,+6.29008558E+01,+6.34831552E+01
23,03/22/2024 01:27:06.122,+6.26602331E+01,+6.24218191E+01,+6.30664877E+01,+6.29960086E+01,+6.36072537E+01
