Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C)
1,03/21/2024 22:07:14.976,+2.45725361E+01,+2.44765260E+01,+2.45932498E+01,+2.46492200E+01,+2.49563882E+01
2,03/21/2024 22:07:24.994,+2.50406672E+01,+2.48827825E+01,+2.50780480E+01,+2.51217155E+01,+2.56223457E+01
3,03/21/2024 22:07:34.976,+2.53792309E+01,+2.51738046E+01,+2.54230420E+01,+2.54635585E+01,+2.60602121E+01
4,03/21/2024 22:07:44.967,+2.55832848E+01,+2.54050962E+01,+2.56396526E+01,+2.56881002E+01,+2.63445795E+01
5,03/21/2024 22:07:54.967,+2.57938972E+01,+2.55886672E+01,+2.58611819E+01,+2.59003353E+01,+2.65869407E+01
6,03/21/2024 22:08:04.967,+2.59883468E+01,+2.57575751E+01,+2.60193195E+01,+2.60500718E+01,+2.67791219E+01
7,03/21/2024 22:08:14.968,+2.61106588E+01,+2.58829891E+01,+2.61639552E+01,+2.62144818E+01,+2.70182742E+01
8,03/21/2024 22:08:24.967,+2.62735010E+01,+2.60231764E+01,+2.63204832E+01,+2.63605747E+01,+2.71774439E+01
9,03/21/2024 22:08:34.991,+2.64290838E+01,+2.61615413E+01,+2.64488774E+01,+2.64964572E+01,+2.73840627E+01
10,03/21/2024 22:08:44.967,+2.65726275E+01,+2.62937870E+01,+2.66205217E+01,+2.66337232E+01,+2.75660374E+01
11,03/21/2024 22:08:54.980,+2.67058413E+01,+2.64385964E+01,+2.67606621E+01,+2.67931751E+01,+2.77232262E+01
12,03/21/2024 22:09:04.979,+2.68033392E+01,+2.65110621E+01,+2.68412190E+01,+2.68814395E+01,+2.78712881E+01
13,03/21/2024 22:09:14.968,+2.69716906E+01,+2.66460605E+01,+2.70037650E+01,+2.70281620E+01,+2.81018221E+01
14,03/21/2024 22:09:24.981,+2.70696875E+01,+2.67663892E+01,+2.71061126E+01,+2.71290263E+01,+2.82427873E+01
15,03/21/2024 22:09:34.968,+2.72253183E+01,+2.68970487E+01,+2.72291848E+01,+2.72607902E+01,+2.84301394E+01
16,03/21/2024 22:09:44.977,+2.73380337E+01,+2.70020830E+01,+2.73296049E+01,+2.73704840E+01,+2.85910666E+01
17,03/21/2024 22:09:54.954,+2.74539951E+01,+2.71063475E+01,+2.74582993E+01,+2.74995328E+01,+2.86955942E+01
18,03/21/2024 22:10:04.955,+2.75705501E+01,+2.72453147E+01,+2.75778888E+01,+2.76048860E+01,+2.88589908E+01
19,03/21/2024 22:10:14.954,+2.76664450E+01,+2.73357191E+01,+2.76339102E+01,+2.76684756E+01,+2.89809233E+01
20,03/21/2024 22:10:24.954,+2.77966874E+01,+2.74407802E+01,+2.77729513E+01,+2.78372981E+01,+2.91266017E+01
21,03/21/2024 22:10:34.977,+2.78820037E+01,+2.75272314E+01,+2.78549146E+01,+2.79505579E+01,+2.92330344E+01
22,03/21/2024 22:10:44.966,+2.79687438E+01,+2.75994981E+01,+2.79407611E+01,+2.79819394E+01,+2.93340092E+01
23,03/21/2024 22:10:54.974,+2.80457604E+01,+2.76818619E+01,+2.80099291E+01,+2.80882069E+01,+2.94668648E+01
24,03/21/2024 22:11:04.986,+2.81588620E+01,+2.78061862E+01,+2.81450272E+01,+2.82023548E+01,+2.95436753E+01
25,03/21/2024 22:11:15.011,+2.82411060E+01,+2.78882173E+01,+2.82155359E+01,+2.82624244E+01,+2.96293850E+01
26,03/21/2024 22:11:24.954,+2.83134868E+01,+2.79636496E+01,+2.82783566E+01,+2.83379657E+01,+2.97361619E+01
27,03/21/2024 22:11:34.954,+2.84053457E+01,+2.80454002E+01,+2.83425296E+01,+2.84092157E+01,+2.97871638E+01
28,03/21/2024 22:11:44.954,+2.84493987E+01,+2.80868464E+01,+2.84014294E+01,+2.84672403E+01,+2.99139530E+01
29,03/21/2024 22:11:54.997,+2.84900103E+01,+2.81222227E+01,+2.84521949E+01,+2.85230480E+01,+2.99447527E+01
30,03/21/2024 22:12:04.965,+2.85566923E+01,+2.82124689E+01,+2.85421894E+01,+2.86091299E+01,+3.00110312E+01
31,03/21/2024 22:12:14.975,+2.86396442E+01,+2.82879864E+01,+2.85989265E+01,+2.86552926E+01,+3.01088468E+01
32,03/21/2024 22:12:24.989,+2.86812420E+01,+2.83246648E+01,+2.86427333E+01,+2.86850315E+01,+3.01373231E+01
33,03/21/2024 22:12:34.954,+2.87686311E+01,+2.84017549E+01,+2.87342756E+01,+2.87625553E+01,+3.02011086E+01
34,03/21/2024 22:12:44.954,+2.88279735E+01,+2.84752798E+01,+2.87831257E+01,+2.88532490E+01,+3.02515047E+01
35,03/21/2024 22:12:54.954,+2.88748136E+01,+2.85199787E+01,+2.88314260E+01,+2.88892106E+01,+3.02983941E+01
36,03/21/2024 22:13:04.962,+2.89099152E+01,+2.85705424E+01,+2.88801541E+01,+2.89241332E+01,+3.03366189E+01
37,03/21/2024 22:13:14.954,+2.89333670E+01,+2.85881257E+01,+2.88836147E+01,+2.89170215E+01,+3.03545971E+01
38,03/21/2024 22:13:24.954,+2.89742293E+01,+2.86234098E+01,+2.89359460E+01,+2.89822718E+01,+3.03864634E+01
39,03/21/2024 22:13:34.954,+2.90009616E+01,+2.86936537E+01,+2.89817795E+01,+2.90266621E+01,+3.04023262E+01
40,03/21/2024 22:13:44.992,+2.90411583E+01,+2.87081994E+01,+2.90083048E+01,+2.90475719E+01,+3.04348874E+01
41,03/21/2024 22:13:54.954,+2.90471966E+01,+2.87125488E+01,+2.90221050E+01,+2.90608582E+01,+3.04213936E+01
42,03/21/2024 22:14:04.954,+2.91146863E+01,+2.87864134E+01,+2.90587671E+01,+2.90965782E+01,+3.04713677E+01
43,03/21/2024 22:14:14.962,+2.91225703E+01,+2.88104929E+01,+2.90910025E+01,+2.91376130E+01,+3.04628639E+01
44,03/21/2024 22:14:24.954,+2.91745278E+01,+2.88620996E+01,+2.91294822E+01,+2.91694195E+01,+3.04822147E+01
45,03/21/2024 22:14:34.955,+2.91711949E+01,+2.88471196E+01,+2.91315522E+01,+2.91774276E+01,+3.04771040E+01
46,03/21/2024 22:14:44.954,+2.91876016E+01,+2.88579898E+01,+2.91502984E+01,+2.91922518E+01,+3.04864941E+01
47,03/21/2024 22:14:54.954,+2.92012117E+01,+2.89042733E+01,+2.91813498E+01,+2.92085083E+01,+3.04881151E+01
48,03/21/2024 22:15:04.964,+2.92264481E+01,+2.89239138E+01,+2.91716655E+01,+2.92236642E+01,+3.04907346E+01
49,03/21/2024 22:15:14.954,+2.92441871E+01,+2.89227221E+01,+2.92076959E+01,+2.92364357E+01,+3.04939740E+01
50,03/21/2024 22:15:24.980,+2.92453866E+01,+2.89399802E+01,+2.92050630E+01,+2.92459372E+01,+3.04691784E+01
51,03/21/2024 22:15:34.965,+2.92368184E+01,+2.89260583E+01,+2.91867937E+01,+2.92336404E+01,+3.04473150E+01
52,03/21/2024 22:15:44.954,+2.92595266E+01,+2.89824845E+01,+2.92185433E+01,+2.92720408E+01,+3.04309634E+01
53,03/21/2024 22:15:54.989,+2.92554940E+01,+2.89680139E+01,+2.91949895E+01,+2.92492205E+01,+3.04173326E+01
54,03/21/2024 22:16:04.954,+2.92719340E+01,+2.90032147E+01,+2.92071471E+01,+2.92510818E+01,+3.03944590E+01
55,03/21/2024 22:16:14.954,+2.92743855E+01,+2.90030530E+01,+2.92075850E+01,+2.92524895E+01,+3.03815911E+01
56,03/21/2024 22:16:24.954,+2.92812013E+01,+2.90172448E+01,+2.92262298E+01,+2.92691794E+01,+3.03759063E+01
57,03/21/2024 22:16:34.954,+2.92543117E+01,+2.89828872E+01,+2.91957270E+01,+2.92542317E+01,+3.03342944E+01
58,03/21/2024 22:16:44.953,+2.92607028E+01,+2.90169144E+01,+2.92176046E+01,+2.92817942E+01,+3.03104827E+01
59,03/21/2024 22:16:54.994,+2.92653455E+01,+2.90153093E+01,+2.91979108E+01,+2.92471540E+01,+3.02732851E+01
