Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C)
1,03/22/2024 00:36:23.787,+4.97614208E+01,+4.98043267E+01,+4.99673340E+01,+4.99918999E+01,+4.97492956E+01
2,03/22/2024 00:36:33.787,+5.01611478E+01,+5.01873002E+01,+5.04082163E+01,+5.04515086E+01,+5.02599189E+01
3,03/22/2024 00:36:43.828,+5.03946713E+01,+5.04045791E+01,+5.06670984E+01,+5.07043398E+01,+5.05769497E+01
4,03/22/2024 00:36:53.787,+5.05933833E+01,+5.05921609E+01,+5.08746579E+01,+5.09057762E+01,+5.07909826E+01
5,03/22/2024 00:37:03.787,+5.07603609E+01,+5.07497975E+01,+5.10241943E+01,+5.10596370E+01,+5.10371190E+01
6,03/22/2024 00:37:13.787,+5.09236117E+01,+5.08979138E+01,+5.12041455E+01,+5.12373746E+01,+5.12594579E+01
7,03/22/2024 00:37:23.787,+5.10842237E+01,+5.10351470E+01,+5.13599941E+01,+5.13867533E+01,+5.13834713E+01
8,03/22/2024 00:37:33.787,+5.12604797E+01,+5.12337097E+01,+5.15415754E+01,+5.15660905E+01,+5.16285032E+01
9,03/22/2024 00:37:43.817,+5.13601087E+01,+5.12948173E+01,+5.16485885E+01,+5.16723575E+01,+5.17866111E+01
10,03/22/2024 00:37:53.787,+5.15262748E+01,+5.14364026E+01,+5.18055601E+01,+5.18385647E+01,+5.19732863E+01
11,03/22/2024 00:38:03.787,+5.16382943E+01,+5.15311189E+01,+5.19330836E+01,+5.19664660E+01,+5.21655379E+01
12,03/22/2024 00:38:13.787,+5.17872630E+01,+5.16701429E+01,+5.20644524E+01,+5.20928010E+01,+5.23417394E+01
13,03/22/2024 00:38:23.792,+5.19062465E+01,+5.17697203E+01,+5.21857011E+01,+5.22171566E+01,+5.25102684E+01
14,03/22/2024 00:38:33.787,+5.20328721E+01,+5.18837425E+01,+5.22797431E+01,+5.23200119E+01,+5.26790644E+01
15,03/22/2024 00:38:43.806,+5.21562258E+01,+5.20101982E+01,+5.24501512E+01,+5.24864041E+01,+5.28173994E+01
16,03/22/2024 00:38:53.787,+5.22780177E+01,+5.21359976E+01,+5.25619354E+01,+5.25687842E+01,+5.30395988E+01
17,03/22/2024 00:39:03.787,+5.24019958E+01,+5.22497291E+01,+5.27021074E+01,+5.27292643E+01,+5.31982199E+01
18,03/22/2024 00:39:13.787,+5.25263005E+01,+5.23601554E+01,+5.27944930E+01,+5.28265516E+01,+5.32939790E+01
19,03/22/2024 00:39:23.787,+5.25975422E+01,+5.24379282E+01,+5.28800792E+01,+5.28993664E+01,+5.34433130E+01
20,03/22/2024 00:39:33.787,+5.26923367E+01,+5.25185447E+01,+5.29996374E+01,+5.30271708E+01,+5.35887300E+01
21,03/22/2024 00:39:43.793,+5.28010171E+01,+5.26135101E+01,+5.30995762E+01,+5.31440008E+01,+5.36849312E+01
22,03/22/2024 00:39:53.824,+5.29225874E+01,+5.27485381E+01,+5.32288550E+01,+5.32708737E+01,+5.38395158E+01
