Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C)
1,03/21/2024 23:47:26.948,+4.42428721E+01,+4.42714825E+01,+4.43269422E+01,+4.43534118E+01,+4.42196987E+01
2,03/21/2024 23:47:36.954,+4.46389235E+01,+4.46270333E+01,+4.48255082E+01,+4.48507054E+01,+4.48682597E+01
3,03/21/2024 23:47:46.949,+4.49942449E+01,+4.49239593E+01,+4.51860535E+01,+4.52191172E+01,+4.53273668E+01
4,03/21/2024 23:47:56.956,+4.51959019E+01,+4.51431767E+01,+4.54195976E+01,+4.54550645E+01,+4.56400025E+01
5,03/21/2024 23:48:06.948,+4.53925341E+01,+4.53390012E+01,+4.56390933E+01,+4.56669281E+01,+4.58208825E+01
6,03/21/2024 23:48:16.965,+4.55778048E+01,+4.54908890E+01,+4.58136199E+01,+4.58384109E+01,+4.60826473E+01
7,03/21/2024 23:48:26.948,+4.57255577E+01,+4.56285584E+01,+4.59523396E+01,+4.59736576E+01,+4.62218367E+01
8,03/21/2024 23:48:36.960,+4.59007981E+01,+4.57813766E+01,+4.61187562E+01,+4.61518347E+01,+4.64643730E+01
9,03/21/2024 23:48:46.955,+4.60318818E+01,+4.59258545E+01,+4.62586024E+01,+4.62969821E+01,+4.66374292E+01
10,03/21/2024 23:48:57.005,+4.61833739E+01,+4.60620691E+01,+4.64235741E+01,+4.64553875E+01,+4.68491382E+01
11,03/21/2024 23:49:06.952,+4.63038062E+01,+4.61714726E+01,+4.65224425E+01,+4.65900114E+01,+4.70473848E+01
12,03/21/2024 23:49:16.949,+4.64498747E+01,+4.63236735E+01,+4.66905198E+01,+4.67258463E+01,+4.71807439E+01
13,03/21/2024 23:49:26.949,+4.65721814E+01,+4.64398206E+01,+4.68163520E+01,+4.68379376E+01,+4.73682120E+01
14,03/21/2024 23:49:36.949,+4.67019471E+01,+4.65749821E+01,+4.69758342E+01,+4.70147932E+01,+4.75697052E+01
15,03/21/2024 23:49:46.949,+4.68720930E+01,+4.67208832E+01,+4.71070329E+01,+4.71154181E+01,+4.77158500E+01
16,03/21/2024 23:49:56.949,+4.69432109E+01,+4.67892440E+01,+4.72002796E+01,+4.72356062E+01,+4.79030434E+01
17,03/21/2024 23:50:06.996,+4.70914848E+01,+4.69432894E+01,+4.73431297E+01,+4.73677849E+01,+4.80382774E+01
18,03/21/2024 23:50:16.949,+4.72028029E+01,+4.70350256E+01,+4.74597313E+01,+4.74953433E+01,+4.81645745E+01
19,03/21/2024 23:50:26.948,+4.73151653E+01,+4.71413113E+01,+4.75653903E+01,+4.75855590E+01,+4.83575063E+01
20,03/21/2024 23:50:36.948,+4.74088410E+01,+4.72375326E+01,+4.76498104E+01,+4.76544054E+01,+4.84809045E+01
21,03/21/2024 23:50:46.980,+4.75084360E+01,+4.73231743E+01,+4.77378130E+01,+4.77624616E+01,+4.85930333E+01
22,03/21/2024 23:50:56.958,+4.76174099E+01,+4.74321227E+01,+4.78545693E+01,+4.78810208E+01,+4.87192025E+01
23,03/21/2024 23:51:06.949,+4.76903767E+01,+4.75262391E+01,+4.79355287E+01,+4.79617679E+01,+4.88054928E+01
24,03/21/2024 23:51:16.968,+4.77803072E+01,+4.75991746E+01,+4.80401689E+01,+4.80772231E+01,+4.89669358E+01
25,03/21/2024 23:51:26.949,+4.78769106E+01,+4.76860465E+01,+4.81039413E+01,+4.81408490E+01,+4.90317473E+01
26,03/21/2024 23:51:36.948,+4.79811344E+01,+4.77890447E+01,+4.82178202E+01,+4.82378455E+01,+4.91416761E+01
27,03/21/2024 23:51:46.963,+4.80885141E+01,+4.79085357E+01,+4.83202079E+01,+4.83325270E+01,+4.92344753E+01
28,03/21/2024 23:51:56.972,+4.81638895E+01,+4.79624286E+01,+4.83870201E+01,+4.84032911E+01,+4.93642642E+01
29,03/21/2024 23:52:06.949,+4.82348235E+01,+4.80531016E+01,+4.84671548E+01,+4.84808849E+01,+4.94212506E+01
30,03/21/2024 23:52:16.948,+4.83069728E+01,+4.81143936E+01,+4.85241063E+01,+4.85632313E+01,+4.95128354E+01
31,03/21/2024 23:52:26.948,+4.83524141E+01,+4.81467638E+01,+4.85449667E+01,+4.85780813E+01,+4.95890987E+01
32,03/21/2024 23:52:36.949,+4.84456312E+01,+4.82550930E+01,+4.86477988E+01,+4.86485592E+01,+4.96654348E+01
33,03/21/2024 23:52:46.949,+4.84922088E+01,+4.82878999E+01,+4.86719913E+01,+4.87037524E+01,+4.96846469E+01
34,03/21/2024 23:52:56.982,+4.85126669E+01,+4.83480355E+01,+4.87414994E+01,+4.87758468E+01,+4.97647556E+01
35,03/21/2024 23:53:06.948,+4.86068165E+01,+4.84017458E+01,+4.87921536E+01,+4.88045539E+01,+4.98296374E+01
36,03/21/2024 23:53:16.952,+4.86384153E+01,+4.84438371E+01,+4.88132134E+01,+4.88520989E+01,+4.98845403E+01
37,03/21/2024 23:53:26.979,+4.86835197E+01,+4.84929048E+01,+4.88891497E+01,+4.88941803E+01,+4.99341562E+01
38,03/21/2024 23:53:36.949,+4.87508708E+01,+4.85527689E+01,+4.89538142E+01,+4.89743788E+01,+4.99261810E+01
39,03/21/2024 23:53:46.948,+4.87711860E+01,+4.85605039E+01,+4.89410143E+01,+4.89956319E+01,+4.99903701E+01
40,03/21/2024 23:53:56.997,+4.88058292E+01,+4.86360533E+01,+4.90276107E+01,+4.90472484E+01,+5.00355054E+01
41,03/21/2024 23:54:06.949,+4.88737172E+01,+4.86652465E+01,+4.90452066E+01,+4.90530876E+01,+5.00392256E+01
42,03/21/2024 23:54:16.959,+4.89132622E+01,+4.86983783E+01,+4.90910221E+01,+4.91042317E+01,+5.00479162E+01
43,03/21/2024 23:54:26.952,+4.89348842E+01,+4.87402226E+01,+4.90951079E+01,+4.91044331E+01,+5.00395949E+01
44,03/21/2024 23:54:36.949,+4.89397315E+01,+4.87332203E+01,+4.90779045E+01,+4.91112428E+01,+5.00539519E+01
45,03/21/2024 23:54:46.948,+4.89689733E+01,+4.87839066E+01,+4.91273171E+01,+4.91390205E+01,+5.01180758E+01
46,03/21/2024 23:54:56.960,+4.89838117E+01,+4.88066667E+01,+4.91541483E+01,+4.91739041E+01,+5.01038374E+01
47,03/21/2024 23:55:06.961,+4.90114385E+01,+4.88404325E+01,+4.91464718E+01,+4.91743985E+01,+5.00687535E+01
48,03/21/2024 23:55:16.948,+4.90019233E+01,+4.88490546E+01,+4.91695810E+01,+4.92112210E+01,+5.01089064E+01
49,03/21/2024 23:55:26.949,+4.90335227E+01,+4.88865841E+01,+4.91918313E+01,+4.92111549E+01,+5.01053872E+01
50,03/21/2024 23:55:36.986,+4.90627232E+01,+4.89072531E+01,+4.92204084E+01,+4.92522964E+01,+5.00984900E+01
51,03/21/2024 23:55:46.949,+4.90558070E+01,+4.89138483E+01,+4.91951188E+01,+4.92260128E+01,+5.00905642E+01
52,03/21/2024 23:55:56.949,+4.90889686E+01,+4.89422569E+01,+4.92400730E+01,+4.92488455E+01,+5.00474637E+01
53,03/21/2024 23:56:06.948,+4.91233637E+01,+4.89691780E+01,+4.92418996E+01,+4.92835402E+01,+5.00959289E+01
54,03/21/2024 23:56:16.949,+4.91249840E+01,+4.89831972E+01,+4.92363396E+01,+4.92675520E+01,+5.00687134E+01
55,03/21/2024 23:56:26.949,+4.91308430E+01,+4.90162840E+01,+4.92636572E+01,+4.92724100E+01,+5.00787826E+01
56,03/21/2024 23:56:36.948,+4.91214847E+01,+4.90151123E+01,+4.92620721E+01,+4.92979660E+01,+5.00412423E+01
57,03/21/2024 23:56:46.983,+4.91304116E+01,+4.90215035E+01,+4.92643515E+01,+4.92886838E+01,+5.00371999E+01
58,03/21/2024 23:56:56.974,+4.91312803E+01,+4.90312471E+01,+4.92470582E+01,+4.92797700E+01,+5.00216898E+01
59,03/21/2024 23:57:06.992,+4.91495728E+01,+4.90378169E+01,+4.92755035E+01,+4.93081321E+01,+4.99963129E+01
60,03/21/2024 23:57:16.949,+4.91465311E+01,+4.90493969E+01,+4.92896791E+01,+4.93239694E+01,+4.99603239E+01
61,03/21/2024 23:57:26.948,+4.91504141E+01,+4.90411634E+01,+4.92629580E+01,+4.92916990E+01,+4.99771492E+01
62,03/21/2024 23:57:36.948,+4.91360276E+01,+4.90284245E+01,+4.92679206E+01,+4.92909097E+01,+4.99539981E+01
63,03/21/2024 23:57:46.975,+4.91790235E+01,+4.90634913E+01,+4.92910059E+01,+4.93079358E+01,+4.99815250E+01
64,03/21/2024 23:57:56.990,+4.91843499E+01,+4.90655918E+01,+4.92830669E+01,+4.93160120E+01,+4.99541596E+01
