Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C)
51,03/21/2024 22:57:24.464,+3.89193056E+01,+3.88563597E+01,+3.89385419E+01,+3.89912439E+01,+3.93561931E+01
52,03/21/2024 22:57:34.462,+3.89259321E+01,+3.88483879E+01,+3.89316576E+01,+3.89655255E+01,+3.93625691E+01
53,03/21/2024 22:57:44.471,+3.89224928E+01,+3.88549968E+01,+3.89384799E+01,+3.89803665E+01,+3.93507602E+01
54,03/21/2024 22:57:54.492,+3.89223305E+01,+3.88631461E+01,+3.89506261E+01,+3.89815038E+01,+3.93002722E+01
55,03/21/2024 22:58:04.481,+3.89317784E+01,+3.88738038E+01,+3.89558807E+01,+3.89844319E+01,+3.93244486E+01
56,03/21/2024 22:58:14.471,+3.89326062E+01,+3.88724985E+01,+3.89518607E+01,+3.89975758E+01,+3.93045890E+01
57,03/21/2024 22:58:24.462,+3.89397593E+01,+3.88752542E+01,+3.89473403E+01,+3.89819138E+01,+3.92900816E+01
58,03/21/2024 22:58:34.504,+3.89418888E+01,+3.88785164E+01,+3.89473103E+01,+3.89889188E+01,+3.92680442E+01
59,03/21/2024 22:58:44.463,+3.89409649E+01,+3.88808681E+01,+3.89458782E+01,+3.90045150E+01,+3.92582128E+01
60,03/21/2024 22:58:54.462,+3.89438710E+01,+3.88777021E+01,+3.89538422E+01,+3.89956318E+01,+3.92367260E+01
61,03/21/2024 22:59:04.462,+3.89365340E+01,+3.88901930E+01,+3.89672194E+01,+3.90008176E+01,+3.92340397E+01
62,03/21/2024 22:59:14.462,+3.89424242E+01,+3.88835032E+01,+3.89395786E+01,+3.89983351E+01,+3.92255924E+01
63,03/21/2024 22:59:24.475,+3.89443276E+01,+3.88990307E+01,+3.89663031E+01,+3.89999013E+01,+3.92368788E+01
64,03/21/2024 22:59:34.492,+3.89496963E+01,+3.89110829E+01,+3.89670166E+01,+3.89995123E+01,+3.92512130E+01
65,03/21/2024 22:59:44.463,+3.89583456E+01,+3.89025732E+01,+3.89731565E+01,+3.90219167E+01,+3.92296259E+01
66,03/21/2024 22:59:54.462,+3.89540927E+01,+3.89033981E+01,+3.89701846E+01,+3.90000819E+01,+3.92018879E+01
67,03/21/2024 23:00:04.489,+3.89657812E+01,+3.89232069E+01,+3.89779309E+01,+3.90156615E+01,+3.92074780E+01
68,03/21/2024 23:00:14.462,+3.89539060E+01,+3.89095642E+01,+3.89793607E+01,+3.90172925E+01,+3.91842564E+01
69,03/21/2024 23:00:24.462,+3.89711163E+01,+3.89234379E+01,+3.89877556E+01,+3.90285026E+01,+3.92195749E+01
70,03/21/2024 23:00:34.484,+3.89716050E+01,+3.89386920E+01,+3.90026248E+01,+3.90305429E+01,+3.91991226E+01
71,03/21/2024 23:00:44.462,+3.89711135E+01,+3.89442523E+01,+3.89945799E+01,+3.90444008E+01,+3.92028814E+01
72,03/21/2024 23:00:54.462,+3.89704560E+01,+3.89438028E+01,+3.89984519E+01,+3.90268454E+01,+3.91822329E+01
73,03/21/2024 23:01:04.463,+3.89932410E+01,+3.89527589E+01,+3.90219023E+01,+3.90574806E+01,+3.91865613E+01
74,03/21/2024 23:01:14.462,+3.89843983E+01,+3.89442655E+01,+3.90053156E+01,+3.90453118E+01,+3.91717755E+01
75,03/21/2024 23:01:24.462,+3.89939773E+01,+3.89632514E+01,+3.90188690E+01,+3.90598643E+01,+3.91786848E+01
76,03/21/2024 23:01:34.462,+3.89951514E+01,+3.89550328E+01,+3.90250475E+01,+3.90538589E+01,+3.91684995E+01
77,03/21/2024 23:01:44.462,+3.89960873E+01,+3.89752627E+01,+3.90399205E+01,+3.90779931E+01,+3.91964298E+01
78,03/21/2024 23:01:54.471,+3.89983442E+01,+3.89670242E+01,+3.90188648E+01,+3.90557671E+01,+3.91730770E+01
79,03/21/2024 23:02:04.462,+3.90081529E+01,+3.89887053E+01,+3.90433694E+01,+3.90778339E+01,+3.91767708E+01
80,03/21/2024 23:02:14.462,+3.89996185E+01,+3.89742082E+01,+3.90329738E+01,+3.90732286E+01,+3.91535138E+01
81,03/21/2024 23:02:24.462,+3.90256424E+01,+3.90034226E+01,+3.90525660E+01,+3.90901722E+01,+3.91658741E+01
82,03/21/2024 23:02:34.462,+3.90002267E+01,+3.89795110E+01,+3.90462181E+01,+3.90855741E+01,+3.91713621E+01
83,03/21/2024 23:02:44.462,+3.90342834E+01,+3.90075842E+01,+3.90569218E+01,+3.90956729E+01,+3.91521239E+01
84,03/21/2024 23:02:54.462,+3.90271838E+01,+3.90072450E+01,+3.90597911E+01,+3.91022517E+01,+3.91494743E+01
85,03/21/2024 23:03:04.462,+3.90398951E+01,+3.90114928E+01,+3.90681051E+01,+3.90992112E+01,+3.91518005E+01
86,03/21/2024 23:03:14.475,+3.90456701E+01,+3.90181132E+01,+3.90716352E+01,+3.91077778E+01,+3.91581947E+01
87,03/21/2024 23:03:24.470,+3.90536997E+01,+3.90327849E+01,+3.90802717E+01,+3.91165720E+01,+3.91684797E+01
88,03/21/2024 23:03:34.464,+3.90410212E+01,+3.90156592E+01,+3.90851934E+01,+3.91124731E+01,+3.91561339E+01
89,03/21/2024 23:03:44.462,+3.90655503E+01,+3.90464482E+01,+3.90884578E+01,+3.91253217E+01,+3.91789608E+01
90,03/21/2024 23:03:54.462,+3.90648549E+01,+3.90457429E+01,+3.90958162E+01,+3.91251054E+01,+3.91689533E+01
91,03/21/2024 23:04:04.462,+3.90797761E+01,+3.90530991E+01,+3.91097133E+01,+3.91526054E+01,+3.91667042E+01
92,03/21/2024 23:04:14.462,+3.90790422E+01,+3.90547582E+01,+3.91114546E+01,+3.91498285E+01,+3.91572377E+01
93,03/21/2024 23:04:24.462,+3.90724654E+01,+3.90611734E+01,+3.91140868E+01,+3.91453583E+01,+3.91747402E+01
94,03/21/2024 23:04:34.472,+3.90804304E+01,+3.90803546E+01,+3.91171664E+01,+3.91620412E+01,+3.91761495E+01
95,03/21/2024 23:04:44.462,+3.90895396E+01,+3.90864107E+01,+3.91269681E+01,+3.91637535E+01,+3.91595098E+01
96,03/21/2024 23:04:54.462,+3.90929232E+01,+3.90744428E+01,+3.91230114E+01,+3.91650674E+01,+3.91682194E+01
97,03/21/2024 23:05:04.462,+3.90964247E+01,+3.90855988E+01,+3.91359188E+01,+3.91838511E+01,+3.91758059E+01
98,03/21/2024 23:05:14.462,+3.90947067E+01,+3.90822303E+01,+3.91333692E+01,+3.91789060E+01,+3.91602673E+01
99,03/21/2024 23:05:24.462,+3.91022134E+01,+3.90984543E+01,+3.91380439E+01,+3.91852372E+01,+3.91828087E+01
100,03/21/2024 23:05:34.464,+3.91192051E+01,+3.91133964E+01,+3.91512190E+01,+3.91717135E+01,+3.91885309E+01
101,03/21/2024 23:05:44.487,+3.91309221E+01,+3.91223841E+01,+3.91564800E+01,+3.91972394E+01,+3.91876861E+01
102,03/21/2024 23:05:54.462,+3.91386648E+01,+3.91335065E+01,+3.91653905E+01,+3.92005394E+01,+3.92092084E+01
103,03/21/2024 23:06:04.485,+3.91344937E+01,+3.91355599E+01,+3.91819644E+01,+3.92206827E+01,+3.91855951E+01
104,03/21/2024 23:06:14.462,+3.91427830E+01,+3.91540702E+01,+3.91955593E+01,+3.92339300E+01,+3.92202364E+01
105,03/21/2024 23:06:24.462,+3.91626824E+01,+3.91681246E+01,+3.91966933E+01,+3.92444383E+01,+3.92069236E+01
106,03/21/2024 23:06:34.465,+3.91554902E+01,+3.91558435E+01,+3.92018501E+01,+3.92339279E+01,+3.92002734E+01
107,03/21/2024 23:06:44.462,+3.91481717E+01,+3.91614322E+01,+3.91928425E+01,+3.92431451E+01,+3.92007167E+01
108,03/21/2024 23:06:54.462,+3.91733694E+01,+3.91751582E+01,+3.92110160E+01,+3.92453403E+01,+3.92186921E+01
109,03/21/2024 23:07:04.469,+3.91663295E+01,+3.91695374E+01,+3.92028348E+01,+3.92511500E+01,+3.92010401E+01
110,03/21/2024 23:07:14.471,+3.91811937E+01,+3.91661750E+01,+3.92196182E+01,+3.92542815E+01,+3.92179949E+01
111,03/21/2024 23:07:24.481,+3.91782969E+01,+3.91806697E+01,+3.92128742E+01,+3.92643065E+01,+3.92150988E+01
112,03/21/2024 23:07:34.462,+3.91850806E+01,+3.91837343E+01,+3.92241518E+01,+3.92677730E+01,+3.92170579E+01
113,03/21/2024 23:07:44.462,+3.91969858E+01,+3.92029423E+01,+3.92267046E+01,+3.92674914E+01,+3.92022334E+01
114,03/21/2024 23:07:54.511,+3.91658120E+01,+3.91980436E+01,+3.92224330E+01,+3.92640384E+01,+3.92193646E+01
115,03/21/2024 23:08:04.462,+3.91841093E+01,+3.92019589E+01,+3.92207055E+01,+3.92703552E+01,+3.92153403E+01
116,03/21/2024 23:08:14.486,+3.92044414E+01,+3.92155653E+01,+3.92391024E+01,+3.92738699E+01,+3.92167435E+01
117,03/21/2024 23:08:24.462,+3.92102130E+01,+3.92251877E+01,+3.92478897E+01,+3.92878797E+01,+3.92141576E+01
118,03/21/2024 23:08:34.505,+3.92216347E+01,+3.92299106E+01,+3.92633294E+01,+3.93000055E+01,+3.92601358E+01
119,03/21/2024 23:08:44.463,+3.92236014E+01,+3.92297324E+01,+3.92551794E+01,+3.92976629E+01,+3.92214702E+01
120,03/21/2024 23:08:54.462,+3.92172852E+01,+3.92317481E+01,+3.92744151E+01,+3.93120439E+01,+3.92316001E+01
121,03/21/2024 23:09:04.483,+3.92315472E+01,+3.92376583E+01,+3.92477751E+01,+3.92954128E+01,+3.92232454E+01
122,03/21/2024 23:09:14.469,+3.92230536E+01,+3.92468445E+01,+3.92720465E+01,+3.93114603E+01,+3.92355205E+01
123,03/21/2024 23:09:24.462,+3.92380398E+01,+3.92454146E+01,+3.92705539E+01,+3.93094894E+01,+3.92275998E+01
124,03/21/2024 23:09:34.462,+3.92415573E+01,+3.92587251E+01,+3.92809472E+01,+3.93328209E+01,+3.92523606E+01
125,03/21/2024 23:09:44.462,+3.92319711E+01,+3.92561344E+01,+3.92701013E+01,+3.93199175E+01,+3.92489513E+01
126,03/21/2024 23:09:54.462,+3.92587345E+01,+3.92750803E+01,+3.92873013E+01,+3.93290498E+01,+3.92496084E+01
127,03/21/2024 23:10:04.462,+3.92466965E+01,+3.92623266E+01,+3.92831232E+01,+3.93327600E+01,+3.92495742E+01
128,03/21/2024 23:10:14.513,+3.92759505E+01,+3.92791708E+01,+3.93165055E+01,+3.93556387E+01,+3.92481226E+01
129,03/21/2024 23:10:24.464,+3.92621693E+01,+3.92609848E+01,+3.92871790E+01,+3.93120787E+01,+3.92289289E+01
130,03/21/2024 23:10:34.476,+3.92521540E+01,+3.92711560E+01,+3.93000751E+01,+3.93395956E+01,+3.92373193E+01
131,03/21/2024 23:10:44.462,+3.92341145E+01,+3.92485571E+01,+3.92698491E+01,+3.93123411E+01,+3.92140718E+01
132,03/21/2024 23:10:54.476,+3.92632228E+01,+3.92659053E+01,+3.92935840E+01,+3.93348270E+01,+3.92362519E+01
133,03/21/2024 23:11:04.462,+3.92547922E+01,+3.92885555E+01,+3.92968522E+01,+3.93441685E+01,+3.92506603E+01
134,03/21/2024 23:11:14.462,+3.92687732E+01,+3.92738577E+01,+3.93071777E+01,+3.93370052E+01,+3.92358172E+01
135,03/21/2024 23:11:24.462,+3.92555160E+01,+3.92718320E+01,+3.92871644E+01,+3.93318389E+01,+3.92118147E+01
136,03/21/2024 23:11:34.486,+3.92740579E+01,+3.92889976E+01,+3.93018384E+01,+3.93457299E+01,+3.92315066E+01
137,03/21/2024 23:11:44.486,+3.92662853E+01,+3.92857981E+01,+3.93028819E+01,+3.93441340E+01,+3.92333752E+01
138,03/21/2024 23:11:54.462,+3.92970411E+01,+3.93020494E+01,+3.93322698E+01,+3.93725167E+01,+3.92568940E+01
139,03/21/2024 23:12:04.471,+3.92774405E+01,+3.92880116E+01,+3.93176190E+01,+3.93538093E+01,+3.92208851E+01
140,03/21/2024 23:12:14.468,+3.92786194E+01,+3.92969307E+01,+3.93247428E+01,+3.93593954E+01,+3.92313561E+01
141,03/21/2024 23:12:24.462,+3.92815647E+01,+3.93015289E+01,+3.93154747E+01,+3.93639338E+01,+3.92192486E+01
142,03/21/2024 23:12:34.484,+3.92707998E+01,+3.92855414E+01,+3.93224335E+01,+3.93579571E+01,+3.92286768E+01
143,03/21/2024 23:12:44.463,+3.92721912E+01,+3.92884274E+01,+3.93103576E+01,+3.93539545E+01,+3.92187038E+01
144,03/21/2024 23:12:54.462,+3.92916695E+01,+3.93015144E+01,+3.93169943E+01,+3.93603564E+01,+3.92206693E+01
145,03/21/2024 23:13:04.506,+3.92967460E+01,+3.93162081E+01,+3.93273625E+01,+3.93712219E+01,+3.92383583E+01
146,03/21/2024 23:13:14.471,+3.93034083E+01,+3.93142956E+01,+3.93443831E+01,+3.93684584E+01,+3.92213952E+01
147,03/21/2024 23:13:24.476,+3.93081328E+01,+3.93297949E+01,+3.93546692E+01,+3.93850050E+01,+3.92494492E+01
148,03/21/2024 23:13:34.490,+3.93110987E+01,+3.93316455E+01,+3.93464250E+01,+3.93917901E+01,+3.92604728E+01
149,03/21/2024 23:13:44.462,+3.93000953E+01,+3.93275376E+01,+3.93429426E+01,+3.94048242E+01,+3.92198750E+01
150,03/21/2024 23:13:54.485,+3.93092553E+01,+3.93361264E+01,+3.93645730E+01,+3.93959801E+01,+3.92556397E+01
151,03/21/2024 23:14:04.480,+3.93251323E+01,+3.93407827E+01,+3.93556937E+01,+3.93950743E+01,+3.92742963E+01
152,03/21/2024 23:14:14.465,+3.93361431E+01,+3.93582031E+01,+3.93678916E+01,+3.94153097E+01,+3.92829329E+01
153,03/21/2024 23:14:24.468,+3.93303162E+01,+3.93474972E+01,+3.93689662E+01,+3.94085832E+01,+3.92616044E+01
154,03/21/2024 23:14:34.482,+3.93325300E+01,+3.93586312E+01,+3.93754946E+01,+3.94183568E+01,+3.92673620E+01
155,03/21/2024 23:14:44.481,+3.93345250E+01,+3.93627011E+01,+3.93767506E+01,+3.94159613E+01,+3.92781736E+01
156,03/21/2024 23:14:54.462,+3.93259839E+01,+3.93458436E+01,+3.93709346E+01,+3.94038354E+01,+3.92572576E+01
157,03/21/2024 23:15:04.466,+3.93424285E+01,+3.93576321E+01,+3.93789849E+01,+3.94246602E+01,+3.92739741E+01
158,03/21/2024 23:15:14.479,+3.93497155E+01,+3.93698187E+01,+3.93890701E+01,+3.94143240E+01,+3.92757077E+01
159,03/21/2024 23:15:24.462,+3.93368701E+01,+3.93653920E+01,+3.93706564E+01,+3.94199706E+01,+3.92800952E+01
160,03/21/2024 23:15:34.462,+3.93464107E+01,+3.93712938E+01,+3.93914256E+01,+3.94348372E+01,+3.92669575E+01
161,03/21/2024 23:15:44.487,+3.93434923E+01,+3.93722911E+01,+3.93884215E+01,+3.94301675E+01,+3.92679976E+01
162,03/21/2024 23:15:54.462,+3.93659877E+01,+3.93871390E+01,+3.94030316E+01,+3.94371686E+01,+3.92692897E+01
163,03/21/2024 23:16:04.462,+3.93607110E+01,+3.93817572E+01,+3.94064705E+01,+3.94490135E+01,+3.92767077E+01
164,03/21/2024 23:16:14.479,+3.93781662E+01,+3.93777237E+01,+3.94091923E+01,+3.94552639E+01,+3.92847874E+01
165,03/21/2024 23:16:24.463,+3.93639170E+01,+3.93768510E+01,+3.93912295E+01,+3.94410595E+01,+3.92745148E+01
166,03/21/2024 23:16:34.462,+3.93510557E+01,+3.93851221E+01,+3.93878761E+01,+3.94358463E+01,+3.92538779E+01
167,03/21/2024 23:16:44.462,+3.93399388E+01,+3.93610743E+01,+3.93906933E+01,+3.94295264E+01,+3.92533958E+01
168,03/21/2024 23:16:54.462,+3.93348549E+01,+3.93644888E+01,+3.93802005E+01,+3.94264957E+01,+3.92599066E+01
169,03/21/2024 23:17:04.467,+3.93558573E+01,+3.93857969E+01,+3.94027978E+01,+3.94340473E+01,+3.92606737E+01
170,03/21/2024 23:17:14.462,+3.93581452E+01,+3.93867945E+01,+3.93930910E+01,+3.94429008E+01,+3.92694937E+01
171,03/21/2024 23:17:24.462,+3.93445641E+01,+3.93832525E+01,+3.93943093E+01,+3.94353291E+01,+3.92468834E+01
172,03/21/2024 23:17:34.478,+3.93689704E+01,+3.93900883E+01,+3.94098200E+01,+3.94523293E+01,+3.92689975E+01
173,03/21/2024 23:17:44.462,+3.93712455E+01,+3.93905030E+01,+3.94074509E+01,+3.94482322E+01,+3.92670437E+01
174,03/21/2024 23:17:54.480,+3.93703661E+01,+3.93901546E+01,+3.94069671E+01,+3.94578047E+01,+3.92623097E+01
175,03/21/2024 23:18:04.512,+3.93631148E+01,+3.93915562E+01,+3.93958439E+01,+3.94398189E+01,+3.92585679E+01
176,03/21/2024 23:18:14.462,+3.93782851E+01,+3.93990663E+01,+3.94046075E+01,+3.94550860E+01,+3.92532846E+01
177,03/21/2024 23:18:24.468,+3.93693825E+01,+3.94060895E+01,+3.94217435E+01,+3.94631038E+01,+3.92840914E+01
178,03/21/2024 23:18:34.462,+3.93901818E+01,+3.94102800E+01,+3.94245591E+01,+3.94612000E+01,+3.92759087E+01
179,03/21/2024 23:18:44.462,+3.93949506E+01,+3.94163050E+01,+3.94275127E+01,+3.94821576E+01,+3.92772063E+01
180,03/21/2024 23:18:54.462,+3.93798004E+01,+3.93982033E+01,+3.94139865E+01,+3.94562086E+01,+3.92539755E+01
181,03/21/2024 23:19:04.497,+3.93919547E+01,+3.94138435E+01,+3.94384624E+01,+3.94900850E+01,+3.92799239E+01
182,03/21/2024 23:19:14.468,+3.93908181E+01,+3.94024585E+01,+3.94291331E+01,+3.94791374E+01,+3.92645868E+01
183,03/21/2024 23:19:24.505,+3.94157748E+01,+3.94255644E+01,+3.94460865E+01,+3.94824454E+01,+3.92748813E+01
184,03/21/2024 23:19:34.462,+3.93986535E+01,+3.94230787E+01,+3.94348107E+01,+3.94839372E+01,+3.92819199E+01
185,03/21/2024 23:19:44.469,+3.93902816E+01,+3.94153040E+01,+3.94398832E+01,+3.94820798E+01,+3.92701599E+01
186,03/21/2024 23:19:54.462,+3.93945916E+01,+3.94194190E+01,+3.94281887E+01,+3.94836676E+01,+3.92709068E+01
187,03/21/2024 23:20:04.462,+3.93900113E+01,+3.94150170E+01,+3.94231469E+01,+3.94707701E+01,+3.92702054E+01
188,03/21/2024 23:20:14.481,+3.93840914E+01,+3.94217408E+01,+3.94339970E+01,+3.94778299E+01,+3.92640604E+01
189,03/21/2024 23:20:24.462,+3.94115230E+01,+3.94269821E+01,+3.94500532E+01,+3.94951081E+01,+3.93066549E+01
190,03/21/2024 23:20:34.463,+3.93907151E+01,+3.94175089E+01,+3.94347492E+01,+3.94802873E+01,+3.92815810E+01
191,03/21/2024 23:20:44.462,+3.93901072E+01,+3.94217789E+01,+3.94347009E+01,+3.94775241E+01,+3.92741210E+01
192,03/21/2024 23:20:54.462,+3.93877453E+01,+3.94189852E+01,+3.94281637E+01,+3.94771914E+01,+3.92591485E+01
193,03/21/2024 23:21:04.469,+3.93949878E+01,+3.94284072E+01,+3.94444295E+01,+3.94951933E+01,+3.92878316E+01
194,03/21/2024 23:21:14.503,+3.93967867E+01,+3.94171643E+01,+3.94290116E+01,+3.94771455E+01,+3.92524409E+01
195,03/21/2024 23:21:24.462,+3.93956705E+01,+3.94223614E+01,+3.94398618E+01,+3.94869657E+01,+3.92775024E+01
196,03/21/2024 23:21:34.486,+3.94048749E+01,+3.94397422E+01,+3.94333328E+01,+3.94924325E+01,+3.92769965E+01
197,03/21/2024 23:21:44.462,+3.94060632E+01,+3.94396995E+01,+3.94696397E+01,+3.95061344E+01,+3.93189617E+01
198,03/21/2024 23:21:54.462,+3.94195190E+01,+3.94489199E+01,+3.94736357E+01,+3.95051045E+01,+3.93000567E+01
199,03/21/2024 23:22:04.482,+3.94334151E+01,+3.94525577E+01,+3.94649911E+01,+3.95134447E+01,+3.93018546E+01
200,03/21/2024 23:22:14.478,+3.94066787E+01,+3.94451107E+01,+3.94576625E+01,+3.94952199E+01,+3.92634422E+01
201,03/21/2024 23:22:24.470,+3.94373556E+01,+3.94567755E+01,+3.94777778E+01,+3.95108495E+01,+3.92997669E+01
202,03/21/2024 23:22:34.463,+3.94090658E+01,+3.94316523E+01,+3.94530570E+01,+3.94903112E+01,+3.92562216E+01
203,03/21/2024 23:22:44.532,+3.94078389E+01,+3.94382527E+01,+3.94480970E+01,+3.94894974E+01,+3.92849411E+01
