Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C)
1,03/21/2024 22:49:04.487,+3.86544894E+01,+3.83667129E+01,+3.86743896E+01,+3.87217057E+01,+4.01137415E+01
2,03/21/2024 22:49:14.464,+3.86913940E+01,+3.84081704E+01,+3.87269496E+01,+3.87608876E+01,+4.01457558E+01
3,03/21/2024 22:49:24.492,+3.87340115E+01,+3.84568138E+01,+3.87845386E+01,+3.88242916E+01,+4.01447480E+01
4,03/21/2024 22:49:34.462,+3.87277750E+01,+3.84566515E+01,+3.87868633E+01,+3.88444918E+01,+4.01639233E+01
5,03/21/2024 22:49:44.477,+3.87587188E+01,+3.85145576E+01,+3.88001943E+01,+3.88366999E+01,+4.01391170E+01
6,03/21/2024 22:49:54.466,+3.87886659E+01,+3.85722482E+01,+3.88252249E+01,+3.88658761E+01,+4.01740004E+01
7,03/21/2024 22:50:04.462,+3.88112434E+01,+3.85828058E+01,+3.88451590E+01,+3.88793598E+01,+4.01376335E+01
8,03/21/2024 22:50:14.463,+3.88323183E+01,+3.86092922E+01,+3.88542786E+01,+3.88926293E+01,+4.01648246E+01
9,03/21/2024 22:50:24.488,+3.88241626E+01,+3.86071559E+01,+3.88576217E+01,+3.88894640E+01,+4.01227852E+01
10,03/21/2024 22:50:34.462,+3.88606611E+01,+3.86399769E+01,+3.88720999E+01,+3.88983544E+01,+4.01355073E+01
11,03/21/2024 22:50:44.462,+3.88830517E+01,+3.86700283E+01,+3.88794445E+01,+3.89444217E+01,+4.00887679E+01
12,03/21/2024 22:50:54.515,+3.88793441E+01,+3.86912498E+01,+3.89127204E+01,+3.89529816E+01,+4.01505396E+01
13,03/21/2024 22:51:04.504,+3.88841667E+01,+3.86748138E+01,+3.89028361E+01,+3.89403643E+01,+4.00977080E+01
14,03/21/2024 22:51:14.486,+3.89195300E+01,+3.87299976E+01,+3.89270121E+01,+3.89605172E+01,+4.01068391E+01
15,03/21/2024 22:51:24.462,+3.88944595E+01,+3.86993219E+01,+3.89146145E+01,+3.89509005E+01,+4.00560084E+01
16,03/21/2024 22:51:34.462,+3.89207098E+01,+3.87194156E+01,+3.89521157E+01,+3.89752363E+01,+4.00726589E+01
17,03/21/2024 22:51:44.478,+3.89070515E+01,+3.87173557E+01,+3.88995630E+01,+3.89420572E+01,+4.00457418E+01
18,03/21/2024 22:51:54.462,+3.89052028E+01,+3.87365965E+01,+3.89052361E+01,+3.89498923E+01,+4.00068806E+01
19,03/21/2024 22:52:04.462,+3.89083605E+01,+3.87522834E+01,+3.89218918E+01,+3.89692637E+01,+3.99672531E+01
20,03/21/2024 22:52:14.466,+3.89236270E+01,+3.87599020E+01,+3.89336909E+01,+3.89769910E+01,+3.99717589E+01
21,03/21/2024 22:52:24.467,+3.89140661E+01,+3.87515832E+01,+3.89265605E+01,+3.89581245E+01,+3.99595628E+01
22,03/21/2024 22:52:34.462,+3.89269551E+01,+3.87625442E+01,+3.89498360E+01,+3.89864000E+01,+3.99445561E+01
23,03/21/2024 22:52:44.462,+3.89254386E+01,+3.87641716E+01,+3.89316331E+01,+3.89734479E+01,+3.99156014E+01
24,03/21/2024 22:52:54.462,+3.89373423E+01,+3.87809407E+01,+3.89352362E+01,+3.89880706E+01,+3.98771096E+01
25,03/21/2024 22:53:04.476,+3.89284311E+01,+3.87813439E+01,+3.89367256E+01,+3.89783915E+01,+3.98548951E+01
26,03/21/2024 22:53:14.462,+3.89631833E+01,+3.87885431E+01,+3.89426150E+01,+3.89766870E+01,+3.98339400E+01
27,03/21/2024 22:53:24.465,+3.89235807E+01,+3.87793290E+01,+3.89345824E+01,+3.89818375E+01,+3.98067794E+01
28,03/21/2024 22:53:34.462,+3.89352269E+01,+3.87721134E+01,+3.89355903E+01,+3.89737861E+01,+3.97811932E+01
29,03/21/2024 22:53:44.462,+3.89227383E+01,+3.87761447E+01,+3.89228048E+01,+3.89708303E+01,+3.97661817E+01
30,03/21/2024 22:53:54.462,+3.89111947E+01,+3.87818084E+01,+3.89255117E+01,+3.89687004E+01,+3.97329217E+01
31,03/21/2024 22:54:04.474,+3.89243783E+01,+3.87834526E+01,+3.89249268E+01,+3.89575540E+01,+3.97297468E+01
32,03/21/2024 22:54:14.462,+3.89380264E+01,+3.87869292E+01,+3.89416785E+01,+3.89770348E+01,+3.97096369E+01
33,03/21/2024 22:54:24.462,+3.89296719E+01,+3.87931667E+01,+3.89324853E+01,+3.89688624E+01,+3.96808424E+01
34,03/21/2024 22:54:34.462,+3.89177179E+01,+3.88030200E+01,+3.89246521E+01,+3.89651633E+01,+3.96711750E+01
35,03/21/2024 22:54:44.462,+3.89296209E+01,+3.88306586E+01,+3.89478861E+01,+3.89782997E+01,+3.96530915E+01
36,03/21/2024 22:54:54.482,+3.89055303E+01,+3.88061173E+01,+3.89149805E+01,+3.89642382E+01,+3.96180301E+01
37,03/21/2024 22:55:04.462,+3.89105216E+01,+3.88121961E+01,+3.89161614E+01,+3.89809192E+01,+3.95692614E+01
38,03/21/2024 22:55:14.462,+3.89120769E+01,+3.88107499E+01,+3.89260309E+01,+3.89638845E+01,+3.95666738E+01
39,03/21/2024 22:55:24.468,+3.89123640E+01,+3.88218658E+01,+3.89181691E+01,+3.89481686E+01,+3.95566651E+01
40,03/21/2024 22:55:34.482,+3.89120356E+01,+3.88222760E+01,+3.89257441E+01,+3.89649744E+01,+3.95376851E+01
41,03/21/2024 22:55:44.462,+3.89160115E+01,+3.88234665E+01,+3.89255211E+01,+3.89704827E+01,+3.95343161E+01
42,03/21/2024 22:55:54.463,+3.89043389E+01,+3.88311901E+01,+3.89301461E+01,+3.89663253E+01,+3.94713478E+01
43,03/21/2024 22:56:04.485,+3.89264506E+01,+3.88376622E+01,+3.89430783E+01,+3.89766385E+01,+3.95117511E+01
44,03/21/2024 22:56:14.468,+3.89171699E+01,+3.88331055E+01,+3.89159683E+01,+3.89731989E+01,+3.94723900E+01
45,03/21/2024 22:56:24.512,+3.89425117E+01,+3.88536997E+01,+3.89446845E+01,+3.89795651E+01,+3.94720645E+01
46,03/21/2024 22:56:34.462,+3.89116899E+01,+3.88412139E+01,+3.89321680E+01,+3.89762937E+01,+3.94097033E+01
47,03/21/2024 22:56:44.462,+3.89166377E+01,+3.88442074E+01,+3.89254209E+01,+3.89657241E+01,+3.94080424E+01
48,03/21/2024 22:56:54.462,+3.89125242E+01,+3.88284524E+01,+3.89051811E+01,+3.89362511E+01,+3.93550451E+01
49,03/21/2024 22:57:04.464,+3.89107826E+01,+3.88260236E+01,+3.89165875E+01,+3.89552768E+01,+3.93499338E+01
50,03/21/2024 22:57:14.465,+3.89095388E+01,+3.88457133E+01,+3.89150731E+01,+3.89721619E+01,+3.93529997E+01
