Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C)
1,03/21/2024 23:23:40.129,+3.94235971E+01,+3.94489036E+01,+3.94673157E+01,+3.95043740E+01,+3.92558421E+01
2,03/21/2024 23:23:50.144,+3.94210260E+01,+3.94568042E+01,+3.94710304E+01,+3.95140737E+01,+3.93227463E+01
3,03/21/2024 23:24:00.130,+3.98268287E+01,+3.98119586E+01,+3.99772931E+01,+4.00215872E+01,+4.00191700E+01
4,03/21/2024 23:24:10.130,+4.01775541E+01,+4.01600344E+01,+4.03682793E+01,+4.04005702E+01,+4.04920815E+01
5,03/21/2024 23:24:20.130,+4.04317183E+01,+4.03896324E+01,+4.06236556E+01,+4.06796425E+01,+4.07915664E+01
6,03/21/2024 23:24:30.129,+4.06317250E+01,+4.05831228E+01,+4.08246889E+01,+4.08629154E+01,+4.10308751E+01
7,03/21/2024 23:24:40.141,+4.08034624E+01,+4.07413838E+01,+4.10081340E+01,+4.10454601E+01,+4.12605015E+01
8,03/21/2024 23:24:50.133,+4.09594705E+01,+4.08771683E+01,+4.11501473E+01,+4.11676567E+01,+4.14363222E+01
9,03/21/2024 23:25:00.130,+4.11143147E+01,+4.10495772E+01,+4.13100634E+01,+4.13532669E+01,+4.16213460E+01
10,03/21/2024 23:25:10.129,+4.12334398E+01,+4.11610298E+01,+4.14564882E+01,+4.14809525E+01,+4.18238436E+01
11,03/21/2024 23:25:20.130,+4.14130543E+01,+4.13143638E+01,+4.16155849E+01,+4.16322789E+01,+4.19916134E+01
12,03/21/2024 23:25:30.176,+4.15311501E+01,+4.14330632E+01,+4.17651887E+01,+4.17863120E+01,+4.21934854E+01
13,03/21/2024 23:25:40.181,+4.16754019E+01,+4.15849663E+01,+4.19080348E+01,+4.19220140E+01,+4.23934577E+01
14,03/21/2024 23:25:50.130,+4.17864641E+01,+4.16749343E+01,+4.19933961E+01,+4.20235365E+01,+4.25412899E+01
15,03/21/2024 23:26:00.173,+4.19331061E+01,+4.18346817E+01,+4.21641449E+01,+4.21966709E+01,+4.26903718E+01
16,03/21/2024 23:26:10.129,+4.20750701E+01,+4.19683380E+01,+4.22799183E+01,+4.23034575E+01,+4.29125313E+01
17,03/21/2024 23:26:20.134,+4.21526106E+01,+4.20081230E+01,+4.23728843E+01,+4.24079900E+01,+4.30485620E+01
18,03/21/2024 23:26:30.167,+4.22867716E+01,+4.21679426E+01,+4.25065526E+01,+4.25322732E+01,+4.32006976E+01
19,03/21/2024 23:26:40.130,+4.24244638E+01,+4.22903363E+01,+4.26265807E+01,+4.26521028E+01,+4.33621075E+01
20,03/21/2024 23:26:50.135,+4.25088492E+01,+4.23741642E+01,+4.27257836E+01,+4.27465204E+01,+4.35031647E+01
21,03/21/2024 23:27:00.130,+4.26443136E+01,+4.24691038E+01,+4.28541108E+01,+4.29058425E+01,+4.36650402E+01
22,03/21/2024 23:27:10.130,+4.27467455E+01,+4.26040123E+01,+4.29383450E+01,+4.29634786E+01,+4.37695349E+01
23,03/21/2024 23:27:20.167,+4.28397236E+01,+4.26951838E+01,+4.30494409E+01,+4.30751933E+01,+4.38763856E+01
24,03/21/2024 23:27:30.130,+4.29220414E+01,+4.27527910E+01,+4.31153018E+01,+4.31451143E+01,+4.40229016E+01
25,03/21/2024 23:27:40.115,+4.30093123E+01,+4.28345407E+01,+4.32195869E+01,+4.32419030E+01,+4.40810652E+01
26,03/21/2024 23:27:50.131,+4.30693686E+01,+4.29093488E+01,+4.32861588E+01,+4.33014713E+01,+4.41710246E+01
27,03/21/2024 23:28:00.170,+4.31463143E+01,+4.29925735E+01,+4.33624742E+01,+4.33886091E+01,+4.42925744E+01
28,03/21/2024 23:28:10.130,+4.32447435E+01,+4.30471505E+01,+4.34372243E+01,+4.34705180E+01,+4.43629027E+01
29,03/21/2024 23:28:20.167,+4.33498311E+01,+4.31658460E+01,+4.35258147E+01,+4.35409585E+01,+4.44411543E+01
30,03/21/2024 23:28:30.129,+4.33770368E+01,+4.32001224E+01,+4.35770150E+01,+4.35918133E+01,+4.45431659E+01
31,03/21/2024 23:28:40.129,+4.34746746E+01,+4.32817009E+01,+4.36796584E+01,+4.36959553E+01,+4.46184868E+01
