Sweep #,Time,Chan 101 (C),Chan 102 (C),Chan 103 (C),Chan 104 (C),Chan 105 (C)
1,03/22/2024 01:42:51.401,+6.40772927E+01,+6.41287282E+01,+6.41976038E+01,+6.42481915E+01,+6.38277001E+01
2,03/22/2024 01:43:01.401,+6.40100000E+01,+6.40706753E+01,+6.40915292E+01,+6.41466152E+01,+6.36059398E+01
3,03/22/2024 01:43:11.402,+6.39686673E+01,+6.40367886E+01,+6.40575339E+01,+6.41003008E+01,+6.36141667E+01
4,03/22/2024 01:43:21.401,+6.31761631E+01,+6.34293073E+01,+6.31590407E+01,+6.31180026E+01,+6.25911015E+01
5,03/22/2024 01:43:31.402,+6.21361487E+01,+6.25955584E+01,+6.21299506E+01,+6.19571905E+01,+6.13330509E+01
6,03/22/2024 01:43:41.393,+6.12656215E+01,+6.18640371E+01,+6.12714429E+01,+6.10620883E+01,+6.01502842E+01
7,03/22/2024 01:43:51.388,+6.07446941E+01,+6.13446285E+01,+6.07456534E+01,+6.05151185E+01,+5.99439440E+01
8,03/22/2024 01:44:01.445,+6.03284663E+01,+6.09808823E+01,+6.03853607E+01,+6.01119139E+01,+5.95926680E+01
9,03/22/2024 01:44:11.388,+5.99915533E+01,+6.07014712E+01,+6.00984597E+01,+5.98460360E+01,+5.90656640E+01
10,03/22/2024 01:44:21.417,+5.98224442E+01,+6.05358971E+01,+5.99602490E+01,+5.97128413E+01,+5.88391233E+01
11,03/22/2024 01:44:31.388,+5.96736621E+01,+6.03552047E+01,+5.98177711E+01,+5.95833552E+01,+5.88096855E+01
12,03/22/2024 01:44:41.388,+5.95848597E+01,+6.02720305E+01,+5.97015139E+01,+5.94360492E+01,+5.86113360E+01
13,03/22/2024 01:44:51.388,+5.93919745E+01,+6.00904116E+01,+5.95275103E+01,+5.92985095E+01,+5.87343451E+01
14,03/22/2024 01:45:01.388,+5.92327142E+01,+5.99640676E+01,+5.94114948E+01,+5.91952888E+01,+5.86274307E+01
15,03/22/2024 01:45:11.388,+5.90574299E+01,+5.98171295E+01,+5.92421713E+01,+5.90255095E+01,+5.81586276E+01
16,03/22/2024 01:45:21.399,+5.89147374E+01,+5.96599090E+01,+5.91009316E+01,+5.88700267E+01,+5.81189542E+01
17,03/22/2024 01:45:31.388,+5.87050879E+01,+5.95319283E+01,+5.88981659E+01,+5.87304262E+01,+5.81315849E+01
18,03/22/2024 01:45:41.388,+5.85911754E+01,+5.93947302E+01,+5.87474957E+01,+5.85739652E+01,+5.80351156E+01
