time,msg.id,msg.len,data
1711074065816,3FF,8,11EBFC6500000000
1711074065300,3FF,8,11EBFC6500000000
1711074066000,3FF,8,12EBFC6500000000
1711074067000,3FF,8,13EBFC6500000000
1711074068000,3FF,8,14EBFC6500000000
1711074069000,3FF,8,15EBFC6500000000
1711074070000,3FF,8,16EBFC6500000000
1711074071000,3FF,8,17EBFC6500000000
1711074072000,4A,8,4A1A48491A4E1A4E
1711074072010,4B,8,1B1B1A481AFF1AFF
1711074072439,3FF,8,18EBFC6500000000
1711074073000,4A,8,491A48491A4E1A4E
1711074073010,4B,8,1B1B1A481AFF1AFF
1711074073701,3FF,8,19EBFC6500000000
1711074073737,4A,8,491A49491A4E1A4E
1711074073748,4B,8,1B1B1A481AFF1AFF
1711074074000,4A,8,4A1A49491A4E1A4E
1711074074010,4B,8,1B1B1A481AFF1AFF
1711074074226,3FF,8,1AEBFC6500000000
1711074075000,4A,8,491A49491B4E1A4E
1711074075010,4B,8,1B1B1A481AFF1AFF
1711074075488,3FF,8,1BEBFC6500000000
1711074076000,4A,8,491A49491A4E1A4E
1711074076010,4B,8,1B1B1A481AFF1AFF
1711074076738,4A,8,491A48491B4E1A4E
1711074076748,4B,8,1B1B1A481AFE1AFE
1711074076754,3FF,8,1CEBFC6500000000
1711074077000,4A,8,491A48491A4E1A4E
1711074077011,4B,8,1B1B1A481AFF1AFF
1711074077275,3FF,8,1DEBFC6500000000
1711074078000,4A,8,491A49491A4E1A4E
1711074078010,4B,8,1B1A1A481AFF1AFF
1711074078537,3FF,8,1EEBFC6500000000
1711074079000,4A,8,491A49491A4E1A4E
1711074079010,4B,8,1B1A1A481AFF1AFF
1711074079738,4A,8,4A1A48491A4E1A4E
1711074079748,4B,8,1B1B1A481AFF1AFF
1711074079799,3FF,8,1FEBFC6500000000
1711074080000,4A,8,4A1A48491B4E1A4E
1711074080010,4B,8,1B1B1A481AFF1AFF
1711074080323,3FF,8,20EBFC6500000000
1711074081000,4A,8,4A1A49491A4E1A4E
1711074081011,4B,8,1B1A1A481AFF1AFF
1711074081586,3FF,8,21EBFC6500000000
1711074081738,4A,8,491A49491B4E1A4E
1711074081748,4B,8,1B1B1A481AFF1AFF
1711074082000,4A,8,4A1A49491B4E1A4E
1711074082014,4B,8,1B1B1A481AFF1AFF
1711074082110,3FF,8,22EBFC6500000000
1711074083000,4A,8,4A1A49491B4E1A4E
1711074083010,4B,8,1B1A1A481AFF1AFF
1711074083372,3FF,8,23EBFC6500000000
1711074084000,4A,8,4A1A49491B4E1A4E
1711074084010,4B,8,1B1B1A481AFF1AFF
1711074084634,3FF,8,24EBFC6500000000
1711074084737,4A,8,4A1A49491A4E1A4E
1711074084748,4B,8,1B1A1A481AFF1AFF
1711074085000,4A,8,4A1A48491B4E1A4E
1711074085013,4B,8,1B1A1A481AFF1AFF
1711074085159,3FF,8,25EBFC6500000000
1711074086000,4A,8,4A1A48491B4E1A4E
1711074086010,4B,8,1B1B1A481AFF1AFF
1711074086421,3FF,8,26EBFC6500000000
1711074087000,4A,8,4A1A49491A4E1A4E
1711074087010,4B,8,1B1B1A481AFF1AFF
1711074087683,3FF,8,27EBFC6500000000
1711074087738,4A,8,4A1A49491A4E1A4E
1711074087748,4B,8,1B1B1A481AFE1AFE
1711074088000,4A,8,491A48491B4E1A4E
1711074088012,4B,8,1B1B1A481AFF1AFF
1711074088208,3FF,8,28EBFC6500000000
1711074089000,4A,8,491A48491B4E1A4E
1711074089010,4B,8,1B1B1A481AFF1AFF
1711074089470,3FF,8,29EBFC6500000000
1711074090000,4A,8,491A49491B4E1A4E
1711074090010,4B,8,1B1B1A481AFF1AFF
1711074090732,3FF,8,2AEBFC6500000000
1711074090738,4A,8,4A1A48491B4E1A4E
1711074090748,4B,8,1B1B1A481AFF1AFF
1711074091000,4A,8,491A49491A4E1A4E
1711074091013,4B,8,1B1B1A481AFF1AFF
1711074091256,3FF,8,2BEBFC6500000000
1711074092000,4A,8,4A1A49491B4E1A4E
1711074092011,4B,8,1B1A1A481AFF1AFF
1711074092519,3FF,8,2CEBFC6500000000
1711074093000,4A,8,4A1A49491A4E1A4E
1711074093010,4B,8,1B1B1A481AFF1AFF
1711074093738,4A,8,4A1A48491A4E1A4E
1711074093748,4B,8,1B1A1A481AFF1AFF
