time,msg.id,msg.len,data
1711063324000,4B,8,1A1B1B4D1BFF1BFF
1711063324000,4A,8,4D1B4D4D1B4C1B4D
1711063324000,4A,8,4D1B4D4D1B4C1B4D
1711063324000,4B,8,1B1B1B4E1BFF1BFF
1711063324007,3FF,8,1CC1FC6500000000
1711063324425,3FF,8,1CC1FC6500000000
1711063324426,4A,8,4D1B4D4D1B4C1B4D
1711063324436,4B,8,1B1B1B4D1BFF1BFF
1711063325000,4A,8,4D1B4D4D1B4B1B4D
1711063325010,4B,8,1A1B1B4D1BFF1BFF
1711063325261,3FF,8,1DC1FC6500000000
1711063325737,4A,8,4D1B4D4D1B4C1B4D
1711063325747,4B,8,1A1B1B4D1BFF1BFF
1711063326000,3FF,8,1EC1FC6500000000
1711063326214,4A,8,4D1B4D4D1B4C1B4D
1711063326224,4B,8,1A1B1B4D1BFF1BFF
1711063327000,4A,8,4D1B4D4D1B4B1B4D
1711063327010,4B,8,1B1B1B4D1BFF1BFF
1711063327053,3FF,8,1FC1FC6500000000
1711063328000,4A,8,4D1B4D4D1B4C1B4D
1711063328015,4B,8,1B1B1B4D1BFF1BFF
1711063328310,3FF,8,20C1FC6500000000
1711063328738,4A,8,4D1B4D4D1B4C1B4D
1711063328748,4B,8,1A1A1B4D1BFF1BFF
1711063329000,3FF,8,21C1FC6500000000
1711063329165,4A,8,4D1B4D4D1B4C1B4D
1711063329175,4B,8,1B1B1B4D1BFF1BFF
1711063330000,4A,8,4D1B4D4D1B4C1B4D
1711063330010,4B,8,1B1B1B4D1BFF1BFF
1711063330097,3FF,8,22C1FC6500000000
1711063331000,4A,8,4D1B4D4D1B4B1B4D
1711063331015,4B,8,1B1B1B4D1BFF1BFF
1711063331359,3FF,8,23C1FC6500000000
1711063331738,4A,8,4D1B4D4D1B4B1B4D
1711063331748,4B,8,1B1B1B4D1BFF1BFF
1711063332000,3FF,8,24C1FC6500000000
1711063332117,4A,8,4D1B4D4D1B4C1B4D
1711063332127,4B,8,1A1B1B4D1BFF1BFF
1711063333000,4A,8,4D1B4D4D1B4C1B4D
1711063333010,4B,8,1B1B1B4D1BFF1BFF
1711063333146,3FF,8,25C1FC6500000000
1711063334000,4A,8,4D1B4D4D1B4B1B4D
1711063334013,4B,8,1B1B1B4D1BFF1BFF
1711063334408,3FF,8,26C1FC6500000000
1711063334738,4A,8,4D1B4D4D1B4C1B4D
1711063334748,4B,8,1A1B1B4D1BFF1BFF
1711063335000,3FF,8,27C1FC6500000000
1711063335068,4A,8,4D1B4D4D1B4B1B4D
1711063335078,4B,8,1B1B1B4D1BFF1BFF
1711063336000,4A,8,4D1B4D4D1B4C1B4D
1711063336010,4B,8,1B1B1B4D1BFF1BFF
1711063336194,3FF,8,28C1FC6500000000
1711063337000,4A,8,4D1B4D4D1B4C1B4D
1711063337012,4B,8,1B1B1B4D1BFF1BFF
1711063337457,3FF,8,29C1FC6500000000
1711063337738,4A,8,4D1B4D4D1B4B1B4D
1711063337748,4B,8,1B1B1B4D1BFF1BFF
1711063338000,3FF,8,2AC1FC6500000000
1711063338019,4A,8,4D1B4D4D1B4C1B4D
1711063338029,4B,8,1B1B1B4D1BFF1BFF
1711063339000,4A,8,4D1B4D4D1B4B1B4D
1711063339010,4B,8,1A1B1B4D1BFF1BFF
1711063339243,3FF,8,2BC1FC6500000000
1711063339738,4A,8,4D1B4D4D1B4C1B4D
1711063339749,4B,8,1A1B1B4D1BFF1BFF
1711063340000,3FF,8,2CC1FC6500000000
1711063340232,4A,8,4D1B4D4D1A4B1A4D
1711063340242,4B,8,1B1B1B4E1BFF1AFF
1711063341000,4A,8,4D1B4D4D1B4B1B4D
1711063341010,4B,8,1B1B1B4D1BFF1BFF
1711063341036,3FF,8,2DC1FC6500000000
1711063342000,4A,8,4D1B4D4D1B4C1B4D
1711063342010,4B,8,1A1B1B4D1BFF1BFF
1711063342292,3FF,8,2EC1FC6500000000
1711063342738,4A,8,4D1B4D4D1B4C1B4D
1711063342748,4B,8,1A1B1B4D1BFF1BFF
1711063343000,3FF,8,2FC1FC6500000000
1711063343183,4A,8,4D1B4D4D1B4B1B4D
1711063343194,4B,8,1A1B1B4D1BFF1BFF
1711063344000,4A,8,4D1B4D4D1B4C1B4D
1711063344010,4B,8,1B1B1B4D1BFF1BFF
1711063344079,3FF,8,30C1FC6500000000
1711063345000,4A,8,4D1B4D4D1B4B1B4D
1711063345010,4B,8,1A1B1B4D1BFF1BFF
1711063345341,3FF,8,31C1FC6500000000
1711063345738,4A,8,4D1B4D4D1B4B1B4D
1711063345748,4B,8,1A1B1B4D1BFF1BFF
1711063346000,3FF,8,32C1FC6500000000
1711063346135,4A,8,4D1B4D4D1B4C1B4D
1711063346145,4B,8,1B1B1B4D1BFF1BFF
1711063347000,4A,8,4D1B4D4D1B4C1B4D
1711063347011,4B,8,1A1A1B4D1BFF1BFF
1711063347128,3FF,8,33C1FC6500000000
1711063348000,4A,8,4D1B4D4D1B4B1B4D
1711063348010,4B,8,1A1B1B4D1BFF1BFF
1711063348390,3FF,8,34C1FC6500000000
1711063348738,4A,8,4D1B4D4D1B4C1B4D
1711063348748,4B,8,1A1B1B4D1BFF1BFF
1711063349000,3FF,8,35C1FC6500000000
1711063349086,4A,8,4D1B4D4D1B4B1B4D
1711063349096,4B,8,1B1A1B4D1BFF1BFF
1711063350000,4A,8,4D1B4D4D1B4B1B4D
1711063350010,4B,8,1A1A1B4D1BFF1BFF
1711063350176,3FF,8,36C1FC6500000000
1711063351000,4A,8,4D1B4D4D1B4C1B4D
1711063351011,4B,8,1A1B1B4D1BFF1BFF
1711063351439,3FF,8,37C1FC6500000000
1711063351738,4A,8,4D1B4D4D1B4B1B4D
1711063351748,4B,8,1B1B1B4D1BFF1BFF
1711063352000,3FF,8,38C1FC6500000000
1711063352037,4A,8,4D1B4D4D1B4C1B4D
1711063352047,4B,8,1A1B1B4D1BFF1BFF
1711063353000,4A,8,4D1B4D4D1B4B1B4D
1711063353010,4B,8,1B1B1B4D1BFF1BFF
1711063353225,3FF,8,39C1FC6500000000
1711063354000,4A,8,4D1B4D4D1B4B1B4D
1711063354010,4B,8,1A1B1B4D1BFF1BFF
1711063354487,3FF,8,3AC1FC6500000000
1711063354737,4A,8,4D1B4D4D1B4C1B4D
1711063354748,4B,8,1B1B1B4D1BFF1BFF
1711063355000,4A,8,4D1B4D4D1B4B1B4D
1711063355010,4B,8,1B1B1B4D1BFF1BFF
1711063355018,3FF,8,3BC1FC6500000000
1711063356000,4A,8,4D1B4D4D1B4C1B4D
1711063356010,4B,8,1B1B1B4D1BFF1BFF
1711063356274,3FF,8,3CC1FC6500000000
1711063356738,4A,8,4D1B4D4D1B4B1B4D
1711063356748,4B,8,1B1B1B4D1BFF1BFF
1711063357000,3FF,8,3DC1FC6500000000
1711063357202,4A,8,4D1B4D4D1B4C1B4D
1711063357212,4B,8,1A1A1B4D1BFF1BFF
1711063358000,4A,8,4D1B4D4D1B4B1B4D
1711063358011,4B,8,1B1B1B4D1BFF1BFF
1711063358061,3FF,8,3EC1FC6500000000
1711063359000,4A,8,4D1B4D4D1B4C1B4D
1711063359010,4B,8,1B1B1B4D1BFF1BFF
1711063359323,3FF,8,3FC1FC6500000000
1711063359738,4A,8,4D1B4D4D1B4C1B4D
1711063359748,4B,8,1A1A1B4D1BFF1BFF
1711063360000,3FF,8,40C1FC6500000000
1711063360153,4A,8,4D1B4D4D1B4C1B4D
1711063360163,4B,8,1B1B1B4D1BFF1BFF
1711063361000,4A,8,4D1B4D4D1B4C1B4D
1711063361015,4B,8,1A1A1B4D1BFF1BFF
1711063361109,3FF,8,41C1FC6500000000
1711063362000,4A,8,4D1B4D4D1B4B1B4D
1711063362011,4B,8,1A1B1B4D1BFF1BFF
1711063362372,3FF,8,42C1FC6500000000
1711063362738,4A,8,4D1B4D4D1A4C1A4D
1711063362748,4B,8,1B1B1B4D1BFF1AFF
1711063363000,3FF,8,43C1FC6500000000
1711063363104,4A,8,4D1B4D4D1B4C1B4D
1711063363114,4B,8,1B1A1B4D1BFF1BFF
1711063364000,4A,8,4D1B4D4D1B4C1B4D
1711063364014,4B,8,1B1B1B4D1BFF1BFF
1711063364158,3FF,8,44C1FC6500000000
1711063365000,4A,8,4D1B4D4D1B4B1B4D
1711063365010,4B,8,1B1B1B4D1BFF1BFF
1711063365420,3FF,8,45C1FC6500000000
1711063365737,4A,8,4D1B4D4D1B4C1B4D
1711063365747,4B,8,1B1B1B4D1BFF1BFF
1711063366000,3FF,8,46C1FC6500000000
1711063366056,4A,8,4D1B4D4D1B4B1B4D
1711063366065,4B,8,1A1B1B4D1BFF1BFF
1711063367000,4A,8,4D1B4D4D1A4B1A4D
1711063367012,4B,8,1A1B1B4D1BFF1AFF
1711063367207,3FF,8,47C1FC6500000000
