time,msg.id,msg.len,data
1711069257983,4A,8,491A49491A481A49
1711069257983,4B,8,1A1A1A4A1AFF1AFF
1711069257300,3FF,8,49D8FC6500000000
1711069257565,4A,8,491B49491A481A49
1711069257575,4B,8,1A1A1A491AFF1AFF
1711069258000,3FF,8,4AD8FC6500000000
1711069258002,4A,8,491A49491A481A49
1711069258013,4B,8,1A1A1A491AFF1AFF
1711069259000,4A,8,491A49491A481A49
1711069259018,4B,8,1A1A1A491AFF1AFF
1711069259260,3FF,8,4BD8FC6500000000
1711069260000,4A,8,491A49491A481A49
1711069260010,4B,8,1A1A1A491AFF1AFF
1711069260522,3FF,8,4CD8FC6500000000
1711069260738,4A,8,491A49491A481A49
1711069260748,4B,8,1A1A1A491AFF1AFF
1711069261000,4A,8,491A49491A481A49
1711069261010,4B,8,1A1A1A491AFF1AFF
1711069261053,3FF,8,4DD8FC6500000000
1711069262000,4A,8,491A49491A481A49
1711069262016,4B,8,1A1A1A491AFF1AFF
1711069262309,3FF,8,4ED8FC6500000000
1711069263000,4A,8,491A49491A481A49
1711069263010,4B,8,1A1A1A491AFF1AFF
1711069263571,3FF,8,4FD8FC6500000000
1711069263738,4A,8,491A49491A481A49
1711069263748,4B,8,1A1A1A4A1AFE1AFE
1711069264000,4A,8,491A49491A481A49
1711069264010,4B,8,1A1A1A491AFF1AFF
1711069264095,3FF,8,50D8FC6500000000
1711069265000,4A,8,491A49491A481A49
1711069265014,4B,8,1A1A1A491AFF1AFF
1711069265357,3FF,8,51D8FC6500000000
1711069266000,4A,8,491A48491A481A49
1711069266011,4B,8,1A1A1A491AFF1AFF
1711069266620,3FF,8,52D8FC6500000000
1711069266738,4A,8,491A48491A481A49
1711069266748,4B,8,1A1A1A491AFF1AFF
1711069267000,4A,8,491A49491A481A49
1711069267010,4B,8,1A1A1A491AFF1AFF
1711069267144,3FF,8,53D8FC6500000000
1711069268000,4A,8,491A49491A481A49
1711069268013,4B,8,1A1A1A491AFF1AFF
1711069268406,3FF,8,54D8FC6500000000
1711069268738,4A,8,491A49491A481A49
1711069269000,4B,8,1A1A1A491AFF1AFF
1711069269658,3FF,8,55D8FC6500000000
1711069269727,4A,8,491A49491A481A49
1711069269738,4B,8,1A1A1A491AFF1AFF
1711069270000,4A,8,491A49491A481A49
1711069270010,4B,8,1A1A1A491AFF1AFF
1711069270193,3FF,8,56D8FC6500000000
1711069271000,4A,8,491A49491A481A49
1711069271012,4B,8,1A1A1A491AFF1AFF
1711069271455,3FF,8,57D8FC6500000000
1711069271738,4A,8,491A48491A481A49
1711069271748,4B,8,1A1A1A491AFF1AFF
1711069272000,3FF,8,58D8FC6500000000
1711069272021,4A,8,491A49491A481A49
1711069272031,4B,8,1A1A1A491AFF1AFF
