time,msg.id,msg.len,data
1711058741983,4B,8,1C1C1C541CFF1CFF
1711058741984,4A,8,551C54551C551C55
1711058741300,3FF,8,35AFFC6500000000
1711058741343,4A,8,551C54551C551C55
1711058741356,4B,8,1C1C1C541CFF1CFF
1711058742000,4A,8,551C54551C551C55
1711058742010,4B,8,1C1C1C541CFF1CFF
1711058742219,3FF,8,36AFFC6500000000
1711058743000,4A,8,551C54551C551C55
1711058743010,4B,8,1C1C1C541CFF1CFF
1711058743481,3FF,8,37AFFC6500000000
1711058744000,4A,8,551C54551C551C55
1711058744010,4B,8,1C1C1C541CFF1CFF
1711058744738,4A,8,551C54551C551C55
1711058744752,3FF,8,38AFFC6500000000
1711058744753,4B,8,1C1C1C541CFF1CFF
1711058745000,4A,8,551C54551C551C55
1711058745011,4B,8,1C1C1C541CFF1CFF
1711058745268,3FF,8,39AFFC6500000000
1711058746000,4A,8,551C54541C551C55
1711058746010,4B,8,1C1C1C541CFF1CFF
1711058746530,3FF,8,3AAFFC6500000000
1711058746738,4A,8,551C54551C551C55
1711058746748,4B,8,1C1C1C541CFF1CFF
1711058747000,4A,8,551C54551C551C55
1711058747010,4B,8,1C1C1C541CFF1CFF
1711058747062,3FF,8,3BAFFC6500000000
1711058748000,4A,8,551C54551C551C55
1711058748010,4B,8,1C1C1C541CFF1CFF
1711058748316,3FF,8,3CAFFC6500000000
1711058749000,4A,8,551C54551C551C55
1711058749011,4B,8,1C1C1C541CFF1CFF
1711058749579,3FF,8,3DAFFC6500000000
1711058749738,4A,8,551C54551C551C55
1711058749748,4B,8,1C1C1C541CFF1CFF
1711058750000,4A,8,551C54541C551C55
1711058750024,4B,8,1C1C1C541CFF1CFF
1711058750103,3FF,8,3EAFFC6500000000
1711058751000,4A,8,551C54551C551C55
1711058751010,4B,8,1C1C1C541CFF1CFF
1711058751365,3FF,8,3FAFFC6500000000
1711058752000,4A,8,551C54551C551C55
1711058752010,4B,8,1C1C1C541CFF1CFF
1711058752627,3FF,8,40AFFC6500000000
1711058752737,4A,8,551C54551C551C55
1711058752747,4B,8,1C1C1C541CFF1CFF
1711058753000,4A,8,551C54541C551C55
1711058753010,4B,8,1C1C1C541CFF1CFF
1711058753152,3FF,8,41AFFC6500000000
1711058754000,4A,8,551C54551C551C55
1711058754010,4B,8,1C1C1C541CFF1CFF
1711058754414,3FF,8,42AFFC6500000000
1711058755000,4A,8,551C54551C551C55
1711058755010,4B,8,1C1C1C541CFF1CFF
1711058755676,3FF,8,43AFFC6500000000
1711058755738,4A,8,551C54551C551C55
1711058755748,4B,8,1C1C1C541CFF1CFF
1711058756000,4A,8,551C54551C551C55
1711058756010,4B,8,1C1C1C541CFF1CFF
1711058756201,3FF,8,44AFFC6500000000
1711058757000,4A,8,551C54551C551C55
1711058757010,4B,8,1C1C1C541CFF1CFF
1711058757463,3FF,8,45AFFC6500000000
1711058758000,4A,8,551C54551C551C55
1711058758010,4B,8,1C1C1C541CFF1CFF
1711058758725,3FF,8,46AFFC6500000000
1711058758738,4A,8,551C54551C551C55
1711058758748,4B,8,1C1C1C541CFF1CFF
1711058759000,4A,8,551C54551C551C55
1711058759011,4B,8,1C1C1C541CFF1CFF
1711058759250,3FF,8,47AFFC6500000000
1711058760000,4A,8,551C54551C551C55
1711058760010,4B,8,1C1C1C541CFF1CFF
1711058760512,3FF,8,48AFFC6500000000
1711058760738,4A,8,551C54551C551C55
1711058760748,4B,8,1C1C1C541CFF1CFF
1711058761000,4A,8,551C54551C551C55
1711058761010,4B,8,1C1C1C541CFF1CFF
1711058761041,3FF,8,49AFFC6500000000
1711058762000,4A,8,551C54551C551C55
1711058762010,4B,8,1C1C1C541CFF1CFF
1711058762298,3FF,8,4AAFFC6500000000
1711058763000,4A,8,551C54551C551C55
1711058763016,4B,8,1C1C1C541CFF1CFF
1711058763561,3FF,8,4BAFFC6500000000
1711058763738,4A,8,551C54551C551C55
1711058763748,4B,8,1C1C1C541CFF1CFF
1711058764000,4A,8,551C54551C551C55
1711058764010,4B,8,1C1C1C541CFF1CFF
1711058764085,3FF,8,4CAFFC6500000000
1711058765000,4A,8,551C54551C551C55
1711058765010,4B,8,1C1C1C541CFF1CFF
1711058765347,3FF,8,4DAFFC6500000000
1711058766000,4A,8,551C54551C551C55
1711058766014,4B,8,1C1C1C541CFF1CFF
1711058766609,3FF,8,4EAFFC6500000000
1711058766737,4A,8,551C54551C551C55
1711058766748,4B,8,1C1C1C541CFF1CFF
1711058767000,4A,8,551C54551C551C55
1711058767010,4B,8,1C1C1C541CFF1CFF
1711058767134,3FF,8,4FAFFC6500000000
1711058768000,4A,8,551C54551C551C55
1711058768010,4B,8,1C1C1C541CFF1CFF
1711058768396,3FF,8,50AFFC6500000000
1711058769000,4A,8,551C54551C551C55
1711058769013,4B,8,1C1C1C541CFF1CFF
1711058769658,3FF,8,51AFFC6500000000
1711058769738,4A,8,551C54551C551C55
1711058769748,4B,8,1C1C1C541CFF1CFF
1711058770000,4A,8,551C54551C551C55
1711058770011,4B,8,1C1C1C541CFF1CFF
1711058770183,3FF,8,52AFFC6500000000
1711058771000,4A,8,551C54551C551C55
