time,msg.id,msg.len,data
1711060072000,4B,8,1C1C1C531CFF1CFF
1711060072000,4A,8,531C53531C521C53
1711060072000,4A,8,531C53531C521C53
1711060072000,4B,8,1B1C1C531CFF1CFF
1711060072037,3FF,8,68B4FC6500000000
1711060072584,3FF,8,68B4FC6500000000
1711060072584,4A,8,531C53531C521C53
1711060072594,4B,8,1C1C1C531CFF1CFF
1711060073000,4A,8,531C53531C521C53
1711060073010,4B,8,1B1C1C531CFF1CFF
1711060073262,3FF,8,69B4FC6500000000
1711060074000,4A,8,531C52531C521C53
1711060074010,4B,8,1C1C1C531CFF1CFF
1711060074524,3FF,8,6AB4FC6500000000
1711060074738,4A,8,531C53531B521B53
1711060074748,4B,8,1C1C1C531CFF1BFF
1711060075000,4A,8,531C52531C521C53
1711060075011,4B,8,1C1C1C531CFF1CFF
1711060075054,3FF,8,6BB4FC6500000000
1711060076000,4A,8,531C52531C521C53
1711060076010,4B,8,1C1C1C531CFF1CFF
1711060076311,3FF,8,6CB4FC6500000000
1711060077000,4A,8,531C52531C521C53
1711060077010,4B,8,1C1B1C531CFF1CFF
1711060077573,3FF,8,6DB4FC6500000000
1711060077738,4A,8,531C53531B521B53
1711060077748,4B,8,1B1C1C531CFF1BFF
1711060078000,4A,8,531B53531C521B53
1711060078010,4B,8,1C1C1C531CFF1BFF
1711060078097,3FF,8,6EB4FC6500000000
1711060079000,4A,8,531C52531C521C53
1711060079018,4B,8,1C1B1C531CFF1CFF
1711060079360,3FF,8,6FB4FC6500000000
1711060079738,4A,8,531C53531C521C53
1711060079748,4B,8,1C1C1C531CFF1CFF
1711060080000,3FF,8,70B4FC6500000000
1711060080116,4A,8,531C52531B521B53
1711060080126,4B,8,1C1C1C531BFF1BFF
1711060081000,4A,8,531C53531B521B53
1711060081010,4B,8,1C1C1C531CFF1BFF
1711060081146,3FF,8,71B4FC6500000000
1711060082000,4A,8,531C52531B521B53
1711060082016,4B,8,1C1C1C531CFF1BFF
1711060082408,3FF,8,72B4FC6500000000
1711060082737,4A,8,531C52531C521C53
1711060082748,4B,8,1B1C1C531CFF1CFF
1711060083000,3FF,8,73B4FC6500000000
1711060083067,4A,8,531C53531C521C53
1711060083077,4B,8,1C1C1C531CFF1CFF
1711060084000,4A,8,531C53531C521C53
1711060084010,4B,8,1C1C1B531CFF1CFF
1711060084195,3FF,8,74B4FC6500000000
1711060085000,4A,8,531C53531B521B53
1711060085015,4B,8,1C1C1C531CFF1BFF
1711060085457,3FF,8,75B4FC6500000000
1711060085738,4A,8,531B53531C521B53
1711060085748,4B,8,1B1B1B531CFF1BFF
1711060086000,3FF,8,76B4FC6500000000
1711060086018,4A,8,531C52531C521C53
1711060086028,4B,8,1B1C1C531BFF1CFF
1711060087000,4A,8,531C53531B521B53
1711060087010,4B,8,1C1C1C531CFF1BFF
1711060087244,3FF,8,77B4FC6500000000
1711060088000,4A,8,531C53531C521C53
1711060088011,4B,8,1C1C1C531CFF1CFF
1711060088506,3FF,8,78B4FC6500000000
1711060088738,4A,8,531C52531C521C53
1711060088748,4B,8,1C1C1C531CFF1CFF
1711060089000,4A,8,531C52531C521C53
1711060089010,4B,8,1B1B1C531CFF1CFF
1711060089035,3FF,8,79B4FC6500000000
1711060090000,4A,8,531C53531C521C53
1711060090010,4B,8,1B1C1C531CFF1CFF
1711060090293,3FF,8,7AB4FC6500000000
1711060091000,4A,8,531C52531C521C53
1711060091010,4B,8,1B1C1C531CFF1CFF
1711060091555,3FF,8,7BB4FC6500000000
1711060091738,4A,8,531C52531C521C53
1711060091748,4B,8,1B1C1B531CFF1CFF
1711060092000,4A,8,531B52531B521B53
1711060092010,4B,8,1C1B1C531CFF1BFF
1711060092079,3FF,8,7CB4FC6500000000
1711060093000,4A,8,531C53531C521C53
1711060093011,4B,8,1B1B1C531BFF1CFF
1711060093342,3FF,8,7DB4FC6500000000
1711060094000,4A,8,531C52531B521B53
1711060094010,4B,8,1C1C1C531CFF1BFF
1711060094604,3FF,8,7EB4FC6500000000
1711060094738,4A,8,531B52531B521B53
1711060094748,4B,8,1C1C1C531BFF1BFF
1711060095000,4A,8,531C53531C521C53
1711060095010,4B,8,1C1C1C531CFF1CFF
1711060095128,3FF,8,7FB4FC6500000000
1711060096000,4A,8,531C53531B521B53
1711060096010,4B,8,1B1C1B531CFF1BFF
1711060096390,3FF,8,80B4FC6500000000
1711060096737,4A,8,531B53531C521B53
1711060096748,4B,8,1C1C1C531CFF1BFF
1711060097000,3FF,8,81B4FC6500000000
1711060097085,4A,8,531C52531B521B53
1711060097095,4B,8,1B1C1C531CFF1BFF
1711060098000,4A,8,531C52531C521C53
1711060098010,4B,8,1B1B1B531CFF1CFF
1711060098177,3FF,8,82B4FC6500000000
1711060099000,4A,8,531C52531C521C53
1711060099010,4B,8,1C1C1C531CFF1CFF
1711060099439,3FF,8,83B4FC6500000000
1711060099738,4A,8,531C53531C521C53
1711060099748,4B,8,1C1B1C531CFF1CFF
1711060100000,3FF,8,84B4FC6500000000
1711060100036,4A,8,531C52531C521C53
1711060100047,4B,8,1C1B1C531CFF1CFF
1711060101000,4A,8,531B53531C521B53
1711060101010,4B,8,1B1C1C531CFF1BFF
1711060101226,3FF,8,85B4FC6500000000
1711060102000,4A,8,531C53531C521C53
1711060102010,4B,8,1B1B1C531CFF1CFF
1711060102488,3FF,8,86B4FC6500000000
1711060102738,4A,8,531C52531B521B53
1711060102748,4B,8,1B1C1B531CFF1BFF
1711060103000,4A,8,531B52531C521B53
1711060103010,4B,8,1B1C1C531CFF1BFF
1711060103017,3FF,8,87B4FC6500000000
1711060104000,4A,8,531C52531C521C53
1711060104011,4B,8,1B1C1C531BFF1CFF
1711060104275,3FF,8,88B4FC6500000000
1711060105000,4A,8,531B53531C521B53
1711060105010,4B,8,1C1B1C531CFF1BFF
1711060105537,3FF,8,89B4FC6500000000
1711060105738,4A,8,531C52531B521B53
1711060105748,4B,8,1C1C1C531CFF1BFF
1711060106000,4A,8,531C53531B521B53
1711060106010,4B,8,1B1C1C531CFF1BFF
1711060106061,3FF,8,8AB4FC6500000000
1711060107000,4A,8,531C52531C521C53
1711060107010,4B,8,1C1B1C531CFF1CFF
1711060107323,3FF,8,8BB4FC6500000000
1711060108000,4A,8,531C53531B521B53
1711060108011,4B,8,1C1B1C531CFF1BFF
1711060108586,3FF,8,8CB4FC6500000000
1711060108738,4A,8,531C52531C511C53
1711060108748,4B,8,1C1C1C531BFF1CFF
1711060109000,4A,8,531C53531C521C53
1711060109015,4B,8,1B1C1C531CFF1CFF
1711060109110,3FF,8,8DB4FC6500000000
1711060110000,4A,8,531C52531C521C53
1711060110010,4B,8,1B1B1C531CFF1CFF
1711060110372,3FF,8,8EB4FC6500000000
1711060110738,4A,8,531B53531C521B53
1711060110748,4B,8,1B1C1C531CFF1BFF
1711060111000,3FF,8,8FB4FC6500000000
1711060111103,4A,8,531C52531B521B53
1711060111113,4B,8,1C1C1C531CFF1BFF
1711060112000,4A,8,531B53531C521B53
1711060112014,4B,8,1B1C1C531CFF1BFF
1711060112159,3FF,8,90B4FC6500000000
1711060113000,4A,8,531C53531B521B53
1711060113010,4B,8,1C1C1B531BFF1BFF
1711060113421,3FF,8,91B4FC6500000000
1711060113738,4A,8,531C53531C511C53
1711060113748,4B,8,1C1C1C531CFF1CFF
1711060114000,3FF,8,92B4FC6500000000
1711060114055,4A,8,531C52531B521B53
1711060114065,4B,8,1C1C1C531CFF1BFF
1711060115000,4A,8,531C52531C521C53
1711060115012,4B,8,1B1B1C531CFF1CFF
1711060115208,3FF,8,93B4FC6500000000
1711060116000,4A,8,531B52531C521B53
1711060116010,4B,8,1B1B1C531CFF1BFF
1711060116470,3FF,8,94B4FC6500000000
1711060116738,4A,8,531B52531B521B53
1711060116748,4B,8,1B1C1C531CFF1BFF
1711060117000,3FF,8,95B4FC6500000000
1711060117006,4A,8,531C52531B511B53
1711060117016,4B,8,1B1C1C531CFF1BFF
1711060118000,4A,8,531C52531C511C53
1711060118015,4B,8,1B1C1C531CFF1CFF
1711060118257,3FF,8,96B4FC6500000000
1711060119000,4A,8,531C53531C521C53
1711060119010,4B,8,1B1C1C531CFF1CFF
1711060119519,3FF,8,97B4FC6500000000
1711060119738,4A,8,531B53531B511B53
1711060119748,4B,8,1B1C1C531CFF1BFF
1711060120000,4A,8,531C52531C511C53
1711060120010,4B,8,1B1C1C531BFF1CFF
1711060120051,3FF,8,98B4FC6500000000
1711060121000,4A,8,531C52531C521C53
1711060121013,4B,8,1B1C1C531CFF1CFF
1711060121305,3FF,8,99B4FC6500000000
1711060122000,4A,8,531C52531C511C53
1711060122011,4B,8,1C1B1C531CFF1CFF
1711060122568,3FF,8,9AB4FC6500000000
1711060122738,4A,8,531B52531B521B53
1711060122748,4B,8,1B1B1B531CFF1BFF
1711060123000,4A,8,531C52531B511B53
1711060123010,4B,8,1B1B1C531CFF1BFF
1711060123092,3FF,8,9BB4FC6500000000
1711060124000,4A,8,531C52531B511B53
1711060124012,4B,8,1B1B1B531CFF1BFF
1711060124354,3FF,8,9CB4FC6500000000
1711060124738,4A,8,531C52531C521C53
1711060125000,4B,8,1C1C1C531CFF1CFF
1711060125606,3FF,8,9DB4FC6500000000
1711060125727,4A,8,531C52531C521C53
1711060125738,4B,8,1B1C1C531CFF1CFF
1711060126000,4A,8,531B52531C511B53
1711060126010,4B,8,1B1B1C531CFF1BFF
1711060126141,3FF,8,9EB4FC6500000000
1711060127000,4A,8,531B52531C511B53
1711060127011,4B,8,1C1C1C531CFF1BFF
1711060127403,3FF,8,9FB4FC6500000000
1711060127738,4A,8,531C52531B521B53
1711060127748,4B,8,1B1B1C531CFF1BFF
1711060128000,3FF,8,A0B4FC6500000000
1711060128073,4A,8,531C53531C511C53
1711060128083,4B,8,1B1B1C531CFF1CFF
1711060129000,4A,8,531C52531B521B53
1711060129011,4B,8,1B1B1C531CFF1BFF
1711060129190,3FF,8,A1B4FC6500000000
1711060130000,4A,8,531B52531C521B53
