time,msg.id,msg.len,data
1711067689000,4A,8,4B1B4B4B1B4A1B4B
1711067689001,4B,8,1B1B1B4B1BFF1BFF
1711067689001,4A,8,4B1B4A4B1B4A1B4B
1711067689130,3FF,8,29D2FC6500000000
1711067689130,4A,8,4B1B4A4B1B4A1B4B
1711067689130,4B,8,1B1B1B4B1BFF1BFF
1711067689136,3FF,8,29D2FC6500000000
1711067689266,3FF,8,29D2FC6500000000
1711067689744,4A,8,4B1B4A4A1B4A1B4B
1711067689754,4B,8,1B1B1B4B1BFF1BFF
1711067690000,3FF,8,2AD2FC6500000000
1711067690215,4A,8,4B1B4A4B1B4A1B4B
1711067690226,4B,8,1B1B1B4B1BFF1BFF
1711067691000,4A,8,4B1B4A4A1B4A1B4B
1711067691010,4B,8,1A1B1B4B1BFF1BFF
1711067691052,3FF,8,2BD2FC6500000000
1711067692000,4A,8,4B1B4A4B1B4A1B4B
1711067692013,4B,8,1B1B1B4B1BFF1BFF
1711067692309,3FF,8,2CD2FC6500000000
1711067692738,4A,8,4A1B4A4B1B4A1B4B
1711067692748,4B,8,1B1B1B4B1BFF1BFF
1711067693000,3FF,8,2DD2FC6500000000
1711067693167,4A,8,4A1B4A4B1B491B4B
1711067693177,4B,8,1A1A1B4B1BFF1BFF
1711067694000,4A,8,4A1B4A4A1B4A1B4A
1711067694011,4B,8,1B1B1B4B1BFF1BFF
1711067694096,3FF,8,2ED2FC6500000000
1711067695000,4A,8,4A1B4A4A1A491A4A
1711067695012,4B,8,1B1A1B4B1BFF1AFF
1711067695358,3FF,8,2FD2FC6500000000
1711067695738,4A,8,4A1B4A4A1A4A1A4A
1711067695748,4B,8,1B1B1B4B1BFF1AFF
1711067696000,3FF,8,30D2FC6500000000
1711067696118,4A,8,4A1B4A4A1B491B4A
1711067696128,4B,8,1B1B1B4B1BFF1BFF
1711067697000,4A,8,4A1B4A4A1B491B4A
1711067697010,4B,8,1B1B1B4B1BFF1BFF
1711067697144,3FF,8,31D2FC6500000000
1711067697737,4A,8,4A1B4A4B1B4A1B4B
1711067697748,4B,8,1B1B1B4B1BFF1BFF
