Sweep #,Time,Chan101,Chan102,Chan103,Chan104,Chan105,Chan106
64,15:52.6,2.03184871,12.7539054,12.4902254,12.3798764,12.3967904,15.4121373
65,16:02.6,2.03106637,12.8104516,12.5678783,12.4590519,12.450471,15.4439582
66,16:12.6,2.03025459,12.8819655,12.6171952,12.5027524,12.5087424,15.4884515
67,16:22.6,2.0294959,12.9337791,12.6641884,12.5463439,12.5554436,15.5627824
68,16:32.6,2.02870832,12.9642204,12.7054448,12.5995012,12.6141474,15.5540988
69,16:42.6,2.02800971,13.0407525,12.7834833,12.6565547,12.6723643,15.6145042
70,16:52.6,2.02729291,13.0660119,12.8112218,12.6956609,12.7140663,15.6009585
71,17:02.6,2.02654708,13.1210782,12.8610101,12.7689361,12.7660232,15.6285782
72,17:12.6,2.0258092,13.153025,12.9074028,12.7985507,12.8129921,15.6246614
73,17:22.6,2.02512123,13.2026189,12.9594644,12.8557393,12.8516533,15.6416503
74,17:32.6,2.02444086,13.2545418,12.9937606,12.8917744,12.9060948,15.6089335
75,17:42.6,2.02376596,13.2985134,13.0407366,12.9422406,12.9465591,15.6222076
76,17:52.6,2.02313504,13.3434747,13.0855869,12.9739224,12.990716,15.6175709
77,18:02.6,2.0224765,13.3837139,13.1335762,13.0242946,13.040279,15.6492726
78,18:12.6,2.02190289,13.4132984,13.1378031,13.0531037,13.0621471,15.6038295
79,18:22.6,2.02122897,13.4586522,13.2190493,13.0996826,13.1317181,15.6487525
80,18:32.6,2.02066905,13.4955587,13.2445987,13.1400525,13.1604778,15.5720237
81,18:42.6,2.02008213,13.5181772,13.2795462,13.1763305,13.1807531,15.5840872
82,18:52.6,2.01956465,13.5642992,13.3017571,13.2179651,13.2195715,15.5188243
83,19:02.6,2.01904136,13.6094542,13.3598376,13.2470955,13.2643854,15.51079
84,19:12.6,2.01848927,13.6248763,13.3726629,13.275811,13.2988316,15.4027786
85,19:22.6,2.01802932,13.63882,13.3928901,13.3135145,13.3216149,15.4678478
86,19:32.6,2.01746342,13.6888018,13.4427003,13.3492434,13.3732061,15.3695613
87,19:42.6,2.01701152,13.705477,13.4506984,13.3710322,13.389157,15.4174334
88,19:52.6,2.01656262,13.7238794,13.4911062,13.396707,13.4252903,15.297113
89,20:02.6,2.01615013,13.7474567,13.5047026,13.4351834,13.4461153,15.3554502
90,20:12.6,2.01566983,13.7870792,13.5484668,13.4626012,13.4967342,15.2241175
91,20:22.6,2.01524864,13.8055054,13.5696173,13.4906932,13.5220275,15.279066
92,20:32.6,2.01485511,13.8255992,13.5936748,13.5005099,13.5328993,15.1684242
93,20:42.6,2.01441122,13.8628364,13.6110105,13.5482067,13.5669438,15.2537776
94,20:52.6,2.01402834,13.8566344,13.6255551,13.5486995,13.5912524,15.0773034
95,21:02.6,2.01361576,13.8995146,13.6575459,13.5989422,13.6248559,15.2319006
96,21:12.6,2.01323555,13.9405226,13.6971017,13.6118779,13.6460452,15.1142533
97,21:22.6,2.01280839,13.948574,13.7070144,13.6349405,13.671885,15.2285045
98,21:32.6,2.01246351,13.9597788,13.7232399,13.6584159,13.6798465,15.0434663
99,21:42.6,2.0120831,13.9871518,13.7580643,13.6984658,13.7141865,15.178709
100,21:52.6,2.01171752,14.0113426,13.7740056,13.7132565,13.7384053,14.9615921
101,22:02.6,2.0113805,14.0339255,13.8021015,13.7310381,13.7580915,15.1518758
102,22:12.6,2.01101354,14.0498358,13.8168978,13.751831,13.7706749,14.9204169
103,22:22.6,2.01070008,14.0673374,13.8334888,13.7881804,13.8014939,15.1249564
104,22:32.6,2.01035352,14.0778941,13.8617306,13.8032198,13.8264611,14.893072
105,22:42.6,2.01002663,14.1021198,13.8794146,13.8325247,13.8590209,15.1169541
106,22:52.6,2.00966563,14.1265746,13.8890574,13.8417181,13.8704029,14.9120378
107,23:02.6,2.00934947,14.1622818,13.9322476,13.8746993,13.9168382,15.1423836
108,23:12.6,2.00897534,14.1799819,13.9433396,13.8837609,13.9223435,14.9228162
109,23:22.6,2.008632,14.2009644,13.9753636,13.930526,13.9669434,15.1236384
110,23:32.6,2.00829051,14.2247927,13.992479,13.9354879,13.9673525,14.9241282
111,23:42.6,2.00795528,14.2443455,14.023062,13.9742842,14.0037662,15.1238244
112,23:52.6,2.00769157,14.262496,14.0360691,13.9725752,14.0188924,14.8716679
113,24:02.6,2.00734853,14.2777718,14.0543049,14.0261014,14.053852,15.1006461
114,24:12.6,2.00707754,14.2875464,14.0833641,14.0257476,14.0586661,14.9071579
115,24:22.6,2.00674452,14.3108614,14.1085774,14.0462323,14.0846866,15.1253518
116,24:32.6,2.00645751,14.3237219,14.1136128,14.0703454,14.0921036,14.8114992
117,24:42.6,2.00613182,14.3453929,14.1363735,14.0885173,14.121927,15.0595864
118,24:52.6,2.00588833,14.3558701,14.1412684,14.1069144,14.1286083,14.9100391
119,25:02.6,2.00554775,14.3991701,14.1943317,14.1501677,14.1790208,15.0973881
120,25:12.6,2.00532031,14.4052742,14.1805149,14.1378585,14.1709973,14.8127946
121,25:22.6,2.00502311,14.4233582,14.2147648,14.1698896,14.2044248,15.0256035
122,25:32.6,2.00479239,14.4200984,14.2163116,14.1652376,14.2000401,14.8596769
123,25:42.6,2.00442673,14.4556931,14.2484177,14.2131077,14.2363938,15.0548846
124,25:52.6,2.00426425,14.4615167,14.2371194,14.2018057,14.2462174,14.8157013
125,26:02.6,2.00393426,14.4837235,14.2961888,14.2502189,14.2871684,14.9828956
126,26:12.6,2.00373647,14.4940087,14.2794995,14.2421106,14.2930617,14.8541744
127,26:22.6,2.00342877,14.5238228,14.3058624,14.2777319,14.3106323,15.007051
128,26:32.6,2.00323245,14.505966,14.3109884,14.2753274,14.2989256,14.8343171
