Time,cell43temp,cell44temp,cell45temp,cell46temp,cell47temp,cell48temp,mintemp43to48,maxtemp43to48,cell37temp,cell38temp,cell39temp,cell40temp,cell41temp,cell42temp,mintemp37to42,maxtemp37to42
1711058741343,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058741356,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058742000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058742010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058743000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058743010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058744000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058744010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058744738,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058744753,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058745000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058745011,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058746000,,,,,,,,,1.666595,0.548996,1.646988,1.646988,0.548996,1.666595,0.548996,1.666595
1711058746010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058746738,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058746748,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058747000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058747010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058748000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058748010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058749000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058749011,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058749738,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058749748,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058750000,,,,,,,,,1.666595,0.548996,1.646988,1.646988,0.548996,1.666595,0.548996,1.666595
1711058750024,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058751000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058751010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058752000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058752010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058752737,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058752747,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058753000,,,,,,,,,1.666595,0.548996,1.646988,1.646988,0.548996,1.666595,0.548996,1.666595
1711058753010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058754000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058754010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058755000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058755010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058755738,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058755748,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058756000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058756010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058757000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058757010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058758000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058758010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058758738,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058758748,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058759000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058759011,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058760000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058760010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058760738,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058760748,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058761000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058761010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058762000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058762010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058763000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058763016,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058763738,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058763748,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058764000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058764010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058765000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058765010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058766000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058766014,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058766737,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058766748,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058767000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058767010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058768000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058768010,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058769000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058769013,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058769738,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058769748,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058770000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
1711058770011,0.548996,0.548996,0.548996,1.646988,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711058771000,,,,,,,,,1.666595,0.548996,1.646988,1.666595,0.548996,1.666595,0.548996,1.666595
