Time,cell43temp,cell44temp,cell45temp,cell46temp,cell47temp,cell48temp,mintemp43to48,maxtemp43to48,cell37temp,cell38temp,cell39temp,cell40temp,cell41temp,cell42temp,mintemp37to42,maxtemp37to42
1711060072000,,,,,,,,,1.627381,0.548996,1.627381,1.627381,0.548996,1.607774,0.548996,1.627381
1711060072584,0.529389,0.548996,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,1.627381,0.548996,1.627381,1.627381,0.548996,1.607774,0.548996,1.627381
1711060072594,0.548996,0.548996,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060073000,,,,,,,,,1.627381,0.548996,1.627381,1.627381,0.548996,1.607774,0.548996,1.627381
1711060073010,0.529389,0.548996,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060074000,,,,,,,,,1.627381,0.548996,1.607774,1.627381,0.548996,1.607774,0.548996,1.627381
1711060074010,0.548996,0.548996,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060074738,,,,,,,,,1.627381,0.548996,1.627381,1.627381,0.529389,1.607774,0.529389,1.627381
1711060074748,0.548996,0.548996,0.548996,1.627381,0.548996,4.999785,0.529389,4.999785,,,,,,,,
1711060075000,,,,,,,,,1.627381,0.548996,1.607774,1.627381,0.548996,1.607774,0.548996,1.627381
1711060075011,0.548996,0.548996,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060076000,,,,,,,,,1.627381,0.548996,1.607774,1.627381,0.548996,1.607774,0.548996,1.627381
1711060076010,0.548996,0.548996,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060077000,,,,,,,,,1.627381,0.548996,1.607774,1.627381,0.548996,1.607774,0.548996,1.627381
1711060077010,0.548996,0.529389,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060077738,,,,,,,,,1.627381,0.548996,1.627381,1.627381,0.529389,1.607774,0.529389,1.627381
1711060077748,0.529389,0.548996,0.548996,1.627381,0.548996,4.999785,0.529389,4.999785,,,,,,,,
1711060078000,,,,,,,,,1.627381,0.529389,1.627381,1.627381,0.548996,1.607774,0.529389,1.627381
1711060078010,0.548996,0.548996,0.548996,1.627381,0.548996,4.999785,0.529389,4.999785,,,,,,,,
1711060079000,,,,,,,,,1.627381,0.548996,1.607774,1.627381,0.548996,1.607774,0.548996,1.627381
1711060079018,0.548996,0.529389,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060079738,,,,,,,,,1.627381,0.548996,1.627381,1.627381,0.548996,1.607774,0.548996,1.627381
1711060079748,0.548996,0.548996,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060080116,,,,,,,,,1.627381,0.548996,1.607774,1.627381,0.529389,1.607774,0.529389,1.627381
1711060080126,0.548996,0.548996,0.548996,1.627381,0.529389,4.999785,0.529389,4.999785,,,,,,,,
1711060081000,,,,,,,,,1.627381,0.548996,1.627381,1.627381,0.529389,1.607774,0.529389,1.627381
1711060081010,0.548996,0.548996,0.548996,1.627381,0.548996,4.999785,0.529389,4.999785,,,,,,,,
1711060082000,,,,,,,,,1.627381,0.548996,1.607774,1.627381,0.529389,1.607774,0.529389,1.627381
1711060082016,0.548996,0.548996,0.548996,1.627381,0.548996,4.999785,0.529389,4.999785,,,,,,,,
1711060082737,,,,,,,,,1.627381,0.548996,1.607774,1.627381,0.548996,1.607774,0.548996,1.627381
1711060082748,0.529389,0.548996,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060083067,,,,,,,,,1.627381,0.548996,1.627381,1.627381,0.548996,1.607774,0.548996,1.627381
1711060083077,0.548996,0.548996,0.548996,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060084000,,,,,,,,,1.627381,0.548996,1.627381,1.627381,0.548996,1.607774,0.548996,1.627381
1711060084010,0.548996,0.548996,0.529389,1.627381,0.548996,4.999785,0.548996,4.999785,,,,,,,,
1711060085000,,,,,,,,,1.627381,0.548996,1.627381,1.627381,0.529389,1.607774,0.529389,1.627381
