Time,cell43temp,cell44temp,cell45temp,cell46temp,cell47temp,cell48temp,mintemp43to48,maxtemp43to48,cell37temp,cell38temp,cell39temp,cell40temp,cell41temp,cell42temp,mintemp37to42,maxtemp37to42
1711063324000,,,,,,,,,1.509739,0.529389,1.509739,1.509739,0.529389,1.490132,0.529389,1.509739
1711063324426,0.529389,0.529389,0.529389,1.5293459999999999,0.529389,4.999785,0.529389,4.999785,1.509739,0.529389,1.509739,1.509739,0.529389,1.490132,0.529389,1.509739
1711063324436,0.529389,0.529389,0.529389,1.509739,0.529389,4.999785,0.529389,4.999785,,,,,,,,
1711063325000,,,,,,,,,1.509739,0.529389,1.509739,1.509739,0.529389,1.4705249999999999,0.529389,1.509739
1711063325010,0.509782,0.529389,0.529389,1.509739,0.529389,4.999785,0.529389,4.999785,,,,,,,,
1711063325737,,,,,,,,,1.509739,0.529389,1.509739,1.509739,0.529389,1.490132,0.529389,1.509739
1711063325747,0.509782,0.529389,0.529389,1.509739,0.529389,4.999785,0.529389,4.999785,,,,,,,,
1711063326214,,,,,,,,,1.509739,0.529389,1.509739,1.509739,0.529389,1.490132,0.529389,1.509739
1711063326224,0.509782,0.529389,0.529389,1.509739,0.529389,4.999785,0.529389,4.999785,,,,,,,,
1711063327000,,,,,,,,,1.509739,0.529389,1.509739,1.509739,0.529389,1.4705249999999999,0.529389,1.509739
1711063327010,0.529389,0.529389,0.529389,1.509739,0.529389,4.999785,0.529389,4.999785,,,,,,,,
1711063328000,,,,,,,,,1.509739,0.529389,1.509739,1.509739,0.529389,1.490132,0.529389,1.509739
1711063328015,0.529389,0.529389,0.529389,1.509739,0.529389,4.999785,0.529389,4.999785,,,,,,,,
1711063328738,,,,,,,,,1.509739,0.529389,1.509739,1.509739,0.529389,1.490132,0.529389,1.509739
1711063328748,0.509782,0.509782,0.529389,1.509739,0.529389,4.999785,0.529389,4.999785,,,,,,,,
1711063329165,,,,,,,,,1.509739,0.529389,1.509739,1.509739,0.529389,1.490132,0.529389,1.509739
1711063329175,0.529389,0.529389,0.529389,1.509739,0.529389,4.999785,0.529389,4.999785,,,,,,,,
1711063330000,,,,,,,,,1.509739,0.529389,1.509739,1.509739,0.529389,1.490132,0.529389,1.509739
1711063330010,0.529389,0.529389,0.529389,1.509739,0.529389,4.999785,0.529389,4.999785,,,,,,,,
1711063331000,,,,,,,,,1.509739,0.529389,1.509739,1.509739,0.529389,1.4705249999999999,0.529389,1.509739
1711063331015,0.529389,0.529389,0.529389,1.509739,0.529389,4.999785,0.529389,4.999785,,,,,,,,
