Time,cell37temp,cell38temp,cell39temp,cell40temp,cell41temp,cell42temp,mintemp37to42,maxtemp37to42,cell43temp,cell44temp,cell45temp,cell46temp,cell47temp,cell48temp,mintemp43to48,maxtemp43to48
1711060858488,1.666595,0.568603,1.666595,1.666595,0.548996,1.607774,0.548996,1.666595,0.548996,0.548996,0.548996,1.666595,0.568603,4.999785,0.548996,4.999785
1711060858498,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.548996,4.999785,0.548996,4.999785
1711060859001,1.666595,0.548996,1.666595,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060859012,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.548996,4.999785,0.548996,4.999785
1711060860000,1.666595,0.548996,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060860010,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.548996,4.999785,0.548996,4.999785
1711060860738,1.666595,0.568603,1.666595,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060860748,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.568603,4.999785,0.548996,4.999785
1711060861215,1.666595,0.548996,1.666595,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060861225,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.548996,4.999785,0.548996,4.999785
1711060862000,1.666595,0.548996,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060862010,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.548996,4.999785,0.548996,4.999785
1711060863000,1.666595,0.548996,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060863016,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.568603,4.999785,0.548996,4.999785
1711060863737,1.666595,0.568603,1.646988,1.666595,0.548996,1.627381,0.548996,1.666595,,,,,,,,
1711060863747,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.568603,4.999785,0.548996,4.999785
1711060864166,1.666595,0.548996,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060864176,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.568603,4.999785,0.548996,4.999785
1711060865000,1.666595,0.548996,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060865010,,,,,,,,,0.548996,0.548996,0.568603,1.666595,0.568603,4.999785,0.548996,4.999785
1711060865738,1.666595,0.568603,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060865752,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.568603,4.999785,0.548996,4.999785
1711060866379,1.666595,0.568603,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060866390,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.548996,4.999785,0.548996,4.999785
1711060867117,1.666595,0.548996,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060867127,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.548996,4.999785,0.548996,4.999785
1711060868000,1.666595,0.568603,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060868010,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.548996,4.999785,0.548996,4.999785
1711060868738,1.666595,0.548996,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060868752,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.548996,4.999785,0.548996,4.999785
1711060869331,1.666595,0.548996,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060869341,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.548996,4.999785,0.548996,4.999785
1711060870068,1.666595,0.548996,1.666595,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
1711060870079,,,,,,,,,0.548996,0.548996,0.548996,1.666595,0.568603,4.999785,0.548996,4.999785
1711060871000,1.666595,0.548996,1.646988,1.666595,0.548996,1.607774,0.548996,1.666595,,,,,,,,
