Time,cell37temp,cell38temp,cell39temp,cell40temp,cell41temp,cell42temp,mintemp37to42,maxtemp37to42,cell43temp,cell44temp,cell45temp,cell46temp,cell47temp,cell48temp,mintemp43to48,maxtemp43to48
1711067689001,1.4705249999999999,0.529389,1.450918,1.4705249999999999,0.529389,1.450918,0.529389,1.4705249999999999,0.529389,0.529389,0.529389,1.4705249999999999,0.529389,4.999785,0.529389,4.999785
1711067689130,1.4705249999999999,0.529389,1.450918,1.4705249999999999,0.529389,1.450918,0.529389,1.4705249999999999,,,,,,,,
1711067689744,1.4705249999999999,0.529389,1.450918,1.450918,0.529389,1.450918,0.529389,1.4705249999999999,0.529389,0.529389,0.529389,1.4705249999999999,0.529389,4.999785,0.529389,4.999785
1711067689754,,,,,,,,,0.529389,0.529389,0.529389,1.4705249999999999,0.529389,4.999785,0.529389,4.999785
1711067690215,1.4705249999999999,0.529389,1.450918,1.4705249999999999,0.529389,1.450918,0.529389,1.4705249999999999,,,,,,,,
1711067690226,,,,,,,,,0.529389,0.529389,0.529389,1.4705249999999999,0.529389,4.999785,0.529389,4.999785
1711067691000,1.4705249999999999,0.529389,1.450918,1.450918,0.529389,1.450918,0.529389,1.4705249999999999,,,,,,,,
1711067691010,,,,,,,,,0.509782,0.529389,0.529389,1.4705249999999999,0.529389,4.999785,0.529389,4.999785
1711067692000,1.4705249999999999,0.529389,1.450918,1.4705249999999999,0.529389,1.450918,0.529389,1.4705249999999999,,,,,,,,
1711067692013,,,,,,,,,0.529389,0.529389,0.529389,1.4705249999999999,0.529389,4.999785,0.529389,4.999785
1711067692738,1.450918,0.529389,1.450918,1.4705249999999999,0.529389,1.450918,0.529389,1.4705249999999999,,,,,,,,
1711067692748,,,,,,,,,0.529389,0.529389,0.529389,1.4705249999999999,0.529389,4.999785,0.529389,4.999785
1711067693167,1.450918,0.529389,1.450918,1.4705249999999999,0.529389,1.431311,0.529389,1.4705249999999999,,,,,,,,
1711067693177,,,,,,,,,0.509782,0.509782,0.529389,1.4705249999999999,0.529389,4.999785,0.529389,4.999785
1711067694000,1.450918,0.529389,1.450918,1.450918,0.529389,1.450918,0.529389,1.450918,,,,,,,,
1711067694011,,,,,,,,,0.529389,0.529389,0.529389,1.4705249999999999,0.529389,4.999785,0.529389,4.999785
1711067695000,1.450918,0.529389,1.450918,1.450918,0.509782,1.431311,0.509782,1.450918,,,,,,,,
1711067695012,,,,,,,,,0.529389,0.509782,0.529389,1.4705249999999999,0.529389,4.999785,0.509782,4.999785
1711067695738,1.450918,0.529389,1.450918,1.450918,0.509782,1.450918,0.509782,1.450918,,,,,,,,
1711067695748,,,,,,,,,0.529389,0.529389,0.529389,1.4705249999999999,0.529389,4.999785,0.509782,4.999785
1711067696118,1.450918,0.529389,1.450918,1.450918,0.529389,1.431311,0.529389,1.450918,,,,,,,,
1711067696128,,,,,,,,,0.529389,0.529389,0.529389,1.4705249999999999,0.529389,4.999785,0.529389,4.999785
1711067697000,1.450918,0.529389,1.450918,1.450918,0.529389,1.431311,0.529389,1.450918,,,,,,,,
