time,id,message,label,value,unit
2024-03-21T22:40:58.001Z,0x4B,segment4_temps2,cell43temp,0.548996,None
2024-03-21T22:40:58.001Z,0x4B,segment4_temps2,cell44temp,0.548996,None
2024-03-21T22:40:58.001Z,0x4B,segment4_temps2,cell45temp,0.548996,None
2024-03-21T22:40:58.001Z,0x4B,segment4_temps2,cell46temp,1.666595,None
2024-03-21T22:40:58.001Z,0x4B,segment4_temps2,cell47temp,0.568603,None
2024-03-21T22:40:58.001Z,0x4B,segment4_temps2,cell48temp,4.999785,None
2024-03-21T22:40:58.001Z,0x4B,segment4_temps2,mintemp43to48,0.548996,None
2024-03-21T22:40:58.001Z,0x4B,segment4_temps2,maxtemp43to48,4.999785,None
2024-03-21T22:40:58.488Z,0x4A,segment4_temps1,cell37temp,1.666595,None
2024-03-21T22:40:58.488Z,0x4A,segment4_temps1,cell38temp,0.568603,None
2024-03-21T22:40:58.488Z,0x4A,segment4_temps1,cell39temp,1.666595,None
2024-03-21T22:40:58.488Z,0x4A,segment4_temps1,cell40temp,1.666595,None
2024-03-21T22:40:58.488Z,0x4A,segment4_temps1,cell41temp,0.548996,None
2024-03-21T22:40:58.488Z,0x4A,segment4_temps1,cell42temp,1.607774,None
2024-03-21T22:40:58.488Z,0x4A,segment4_temps1,mintemp37to42,0.548996,None
2024-03-21T22:40:58.488Z,0x4A,segment4_temps1,maxtemp37to42,1.666595,None
2024-03-21T22:40:58.498Z,0x4B,segment4_temps2,cell43temp,0.548996,None
2024-03-21T22:40:58.498Z,0x4B,segment4_temps2,cell44temp,0.548996,None
2024-03-21T22:40:58.498Z,0x4B,segment4_temps2,cell45temp,0.548996,None
2024-03-21T22:40:58.498Z,0x4B,segment4_temps2,cell46temp,1.666595,None
2024-03-21T22:40:58.498Z,0x4B,segment4_temps2,cell47temp,0.548996,None
2024-03-21T22:40:58.498Z,0x4B,segment4_temps2,cell48temp,4.999785,None
2024-03-21T22:40:58.498Z,0x4B,segment4_temps2,mintemp43to48,0.548996,None
2024-03-21T22:40:58.498Z,0x4B,segment4_temps2,maxtemp43to48,4.999785,None
2024-03-21T22:40:59.001Z,0x4A,segment4_temps1,cell37temp,1.666595,None
2024-03-21T22:40:59.001Z,0x4A,segment4_temps1,cell38temp,0.548996,None
2024-03-21T22:40:59.001Z,0x4A,segment4_temps1,cell39temp,1.666595,None
2024-03-21T22:40:59.001Z,0x4A,segment4_temps1,cell40temp,1.666595,None
2024-03-21T22:40:59.001Z,0x4A,segment4_temps1,cell41temp,0.548996,None
2024-03-21T22:40:59.001Z,0x4A,segment4_temps1,cell42temp,1.607774,None
2024-03-21T22:40:59.001Z,0x4A,segment4_temps1,mintemp37to42,0.548996,None
2024-03-21T22:40:59.001Z,0x4A,segment4_temps1,maxtemp37to42,1.666595,None
2024-03-21T22:40:59.012Z,0x4B,segment4_temps2,cell43temp,0.548996,None
2024-03-21T22:40:59.012Z,0x4B,segment4_temps2,cell44temp,0.548996,None
2024-03-21T22:40:59.012Z,0x4B,segment4_temps2,cell45temp,0.548996,None
2024-03-21T22:40:59.012Z,0x4B,segment4_temps2,cell46temp,1.666595,None
